SliderName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
Character/Eyelash_Length,Eyelash Length,Eyelash Length,睫毛 长度,睫毛 長度,Wimpern Länge,Longitud de las pestañas,Longueur des cils,Szempilla hossza,まつげ 長さ,속눈썹 길이,Ресницы - Длина,Comprimento dos Cílios,Довжина вій,Lunghezza delle ciglia,ความยาวขนตา,Kirpik Uzunluğu,Ögonfranslängd
Character/Brows_Distance,Brows Distance,Brows Distance,眉毛 距离,眉毛 距離,Augenbrauen Abstand,Distancia de las cejas,Distance des sourcils,Szemöldök távolság,眉 距離,눈썹 간격,Брови - Расстояние,Distância das Sobrancelhas,Відстань між бровами,Distanza delle sopracciglia,ระยะห่างระหว่างคิ้ว,Kaş Mesafesi,Brows Distance
Character/Brows_Height,Brows Height,Brows Height,眉毛 高度,眉毛 高度,Augenbrauen Höhe,Altura de las cejas,Hauteur des sourcils,Szemöldökmagasság,眉 高さ,눈썹 높이,Брови - Высота,Altura das Sobrancelhas,Висота брів,Altezza delle sopracciglia,ความสูงของคิ้ว,Kaş Yüksekliği,Brynens höjd
Character/EarShape1,Ear Shape 1,Ear Shape 1,耳朵 形状 1,耳朵 形狀 1,Ohr Form 1,Forma de oreja 1,Forme d'oreille 1,Fül alakja 1,耳 形状1,귀 모양 1,Форма ушей 1,Formato da Orelha 1,Форма вуха 1,Forma dell'orecchio 1,รูปทรงหู 1,Kulak Şekli 1,Öronform 1
Character/EarShape2,Ear Shape 2,Ear Shape 2,耳朵 形状 2,耳朵 形狀 2,Ohr Form 2,Forma de oreja 2,Forme d'oreille 2,Fül alakja 2,耳 形状2,귀 모양 2,Форма ушей 2,Formato da Orelha 2,Форма вуха 2,Forma dell'orecchio 2,รูปทรงหู 2,Kulak Şekli 2,Öronform 2
Character/MiddleBang_Length,Hair Bang >< Length,Hair Bang >< Length,头发 刘海 >< 长度,頭髮 瀏海 >< 長度,Pony >< Länge,Flequillo de pelo >< Longitud,Frange >< Longueur,Hajhullás >< hossz,前髪 >< 長さ,앞머리 >< 길이,Челка >< Длина,Franja >< Comprimento,Чубчик >< довжина,Frangia dei capelli >< Lunghezza,ผมหน้าม้า >< ความยาว,Kahkül >< Uzunluk,Hair Bang >< Längd
Character/MiddleBang_Shear,Hair Bang >< Shear,Hair Bang >< Shear,头发 刘海 >< 剪切,頭髮 瀏海 >< 傾斜,Pony >< Neigung,Flequillo de pelo >< Cizalla,Frange >< Angle,Hair Bang >< Shear,前髪 >< 傾き,앞머리 >< 기울기,Челка >< Наклон,Franja >< Deslocamento,Чубчик >< Стрижка,Frangia per capelli >< Taglio,ผมหน้าม้า >< มุม,Kahkül >< Kayma,Hair Bang >< Shear
Character/BangLeft_Position,Hair Bang >> Position,Hair Bang >> Position,头发 刘海 >> 位置,頭髮 瀏海 >> 位置,Pony >> Position,Flequillo de pelo >> Posición,Frange Côté >> Position,Hair Bang >> Pozíció,前髪 >> 位置,앞머리 >> 위치,Челка >> Позиция,Franja >> Posição,Чубчик для волосся >> Положення,Frangia dei capelli >> Posizione,ผมหน้าม้า >> ตำแหน่ง,Kahkül >> Konum,Hair Bang >> Position
Character/BangLeft_Length,Hair Bang >> Length,Hair Bang >> Length,头发 刘海 >> 长度,頭髮 瀏海 >> 長度,Pony >> Länge,Flequillo del pelo >> Longitud,Frange Côté >> Longueur,Hajhullás >> Hossz,前髪 >> 長さ,앞머리 >> 길이,Челка >> Длина,Franja >> Comprimento,Чубчик >> Довжина,Frangia capelli >> Lunghezza,ผมหน้าม้า >> ความยาว,Kahkül >> Uzunluk,Hair Bang >> Längd
Character/BangLeft_Shear,Hair Bang >> Shear,Hair Bang >> Shear,头发 刘海 >> 剪切,頭髮 瀏海 >> 傾斜,Pony >> Neigung,Flequillo de pelo >> Cizalla,Frange Côté >> Angle,Hajhullás >> Nyírás,前髪 >> 傾き,앞머리 >> 기울기,Челка >> Наклон,Franja >> Deslocamento,Стрижка >> Стрижка,Frangia Capelli >> Taglio,ผมหน้าม้า >> มุม,Kahkül >> Kayma,Hair Bang >> Sax
Character/BangRight_Position,Hair Bang << Position,Hair Bang << Position,头发 刘海 << 位置,頭髮 瀏海 << 位置,Pony << Position,Flequillo de pelo << Posición,Frange Côté << Position,Hair Bang << Pozíció,前髪 << 位置,앞머리 << 위치,Челка << Позиция,Franja << Posição,Чубчик для волосся << Положення,Frangia dei capelli <<Posizione,ผมหน้าม้า << ตำแหน่ง,Kahkül << Konumu,Hair Bang << Position
Character/BangRight_Length,Hair Bang << Length,Hair Bang << Length,头发 刘海 << 长度,頭髮 瀏海 << 長度,Pony << Länge,Flequillo de pelo << Longitud,Frange Côté << Longueur,Hair Bang << Hossz,前髪 << 長さ,앞머리 << 길이,Челка << Длина,Franja << Comprimento,Чубчик для волосся << Довжина,Frangia Capelli << Lunghezza,ผมหน้าม้า << ความยาว,Kahkül << Uzunluk,Hair Bang << Längd
Character/BangRight_Shear,Hair Bang << Shear,Hair Bang << Shear,头发 刘海 << 剪切,頭髮 瀏海 << 傾斜,Pony << Neigung,Flequillo de pelo << Cizalla,Frange Côté << Angle,Hair Bang << Shear,前髪 << 傾き,앞머리 << 기울기,Челка << Наклон,Franja << Deslocamento,Чубчик << Стрижка,Frangia Capelli << Taglio,ผมหน้าม้า << มุม,Kahkül << Kayma,Hair Bang << Shear
Character/FrameHairRight_Length,Hair Framing << Length,Hair Framing << Length,头发 脸颊 << 长度,頭髮 臉頰 << 長度,Seitensträhnen << Länge,Encuadre del cabello << Longitud,Mèche Visage Côté << Longueur,Hajkeretezés << Hossz,顔まわり髪 << 長さ,옆머리 << 길이,Пряди волос << Длина,Mecha do Rosto << Comprimento,Обрамлення волосся << Довжина,Inquadratura dei capelli << Lunghezza,ผมด้านข้าง << ความยาว,Saçın Yanı << Uzunluk,Hårinramning << Längd
Character/FrameHairLeft_Length,Hair Framing >> Length,Hair Framing >> Length,头发 脸颊 >> 长度,頭髮 臉頰 >> 長度,Seitensträhnen >> Länge,Encuadre del cabello >> Longitud,Mèche Visage Côté >> Longueur,Hajkeretezés >> Hossz,顔まわり髪 >> 長さ,옆머리 >> 길이,Пряди волос >> Длина,Mecha do Rosto >> Comprimento,Оформлення волосся >> Довжина,Inquadratura dei capelli >> Lunghezza,ผมด้านข้าง >> ความยาว,Saçın Yanı >> Uzunluk,Hårinramning >> Längd
Character/SideHair_Length,Hair Side Length,Hair Side Length,头发 侧面 长度,頭髮 側面 長度,Haar Seiten Länge,Longitud del lado del cabello,Cheveux Côtés Longueur,Haj oldalhossz,横髪 長さ,옆머리(전체) 길이,Боковые волосы - Длина,Comprimento do Cabelo Lateral,Довжина волосся збоку,Lunghezza laterale dei capelli,ความยาวผมด้านหลัง 1,Saç Yanı'nın Uzunluğu,Hårets sidolängd
Character/BackHair_Length,Hair Rear Length,Hair Rear Length,头发 后侧 长度,頭髮 後側 長度,Haar Länge Hinten,Longitud del pelo trasero,Cheveux Arrières Longueur,Haj hátsó hossz,後ろ髪 長さ,뒷머리 길이,Задние волосы - Длина,Comprimento do Cabelo de Trás,Довжина волосся ззаду,Lunghezza posteriore dei capelli,ความยาวผมด้านหลัง 2,Saç Arkası'nın Uzunluğu,Hår baklängd
Character/Ahoge_Position,Ahoge Position,Ahoge Position,呆毛 位置,呆毛 位置,Ahoge Position,Posición Ahoge,Ahoge Position,Ahoge pozíció,アホ毛 位置,바보털 위치,Ахоге - Положение,Posição do Ahoge,Висока позиція,Posizione Ahoge,ตำแหน่ง Ahoge,Ahoge Konumu,Ahoge Position
Character/Ahoge_Angle,Ahoge Angle,Ahoge Angle,呆毛 角度,呆毛 角度,Ahoge Winkel,Ángulo de Ahoge,Ahoge Angle,Ahoge Angle,アホ毛 角度,바보털 각도,Ахоге - Угол,Ângulo do Ahoge,Ahoge Angle,Angolo Ahoge,มุม Ahoge,Ahoge Açısı,Ahoge Angle
Character/AnimalEarAntenna_Position,Animal Ear & Antenna Position,Animal Ear & Antenna Position,动物耳朵 & 触角 位置,動物耳朵 & 觸角 位置,Tierohr- & Antennenposition,Posición de antena y oreja de animal,Oreilles & Antennes d'Animaux Position,Állati fül és antenna helyzete,ケモ耳／アンテナ 位置,동물 귀 & 안테나 위치 위치,Звериные уши & Антенна - Положение,Orelhas de Animal & Posição da Antena,Положення вуха та антени тварини,Posizione dell'orecchio e dell'antenna dell'animale,ตำแหน่งหูสัตว์และหนวดแมลง,Hayvan Kulağı ve Anten Konumu,Djurets öra och antennposition
