Key,en,de,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editor,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Bist du sicher, dass du den Charakter „{0}“ löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden.",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Der Charakter „{0}“ ist bereits vorhanden. Bist du sicher, dass du den Charakter „{0}“ überschreiben möchtest? Diese Aktion kann nicht rückgängig gemacht werden.",True
MainMenu.Confirm,Confirm,Bestätigen,True
MainMenu.Cancel,Cancel,Abbrechen,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Bitte gib einen Charakternamen ein:,True
MainMenu.Editor.Model,Models,Modelle,True
MainMenu.Editor.Character,Character,Charakter,True
MainMenu.Editor.Animation,Animation,Animation,True
MainMenu.Editor.PartsSelection,Choose Parts,Teile auswählen,True
MainMenu.Editor.PartsAdjustment,Adjustment,Einstellung,True
MainMenu.Search,Search...,Suchen...,True
MainMenu.Editor.SaveCharacter,Save Character,Charakter speichern,True
MainMenu.Editor.Unload,Clear Character,Charakter zurücksetzen,True
MainMenu.Editor.DeleteCharacter,Delete Character,Charakter löschen,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Benutzerdefinierte Texturen verwenden,True
MainMenu.Editor.ReloadTextures,Reload Textures,Texturen neu laden,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Ordner für benutzerdefinierte Texturen öffnen,True
MainMenu.Editor.Color,Color,Farbe,True
MainMenu.Editor.TintColor,TintColor,Tönungsfarbe,True
MainMenu.Editor.TintBlackColor,TintBlackColor,Dunkle Tönungsfarbe,True
MainMenu.Editor.LICENSE,LICENSE,LIZENZ,True
MainMenu.Editor.AssetTypeAA,Built-in,Standard-Assets,False
MainMenu.Editor.AssetTypeSA,Third-Party,Drittanbieter-Assets,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,Der Name darf nicht leer sein.,True
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,Der Name darf nicht länger als {0} Zeichen sein.,True
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",Der Name darf das Zeichen „{0}“ nicht enthalten.,True
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",„{0}“ ist ein reservierter Name und kann nicht verwendet werden.,True
