Key,en,es,reviewed
Hair Ahoge,Hair Ahoge,Ahoge,TRUE
Hair Ahoge Outline,Hair Ahoge Outline,Contorno del Ahoge,TRUE
Animal Ear >>,Animal Ear >>,Oreja de animal >>,TRUE
Animal Ear >> Fur,Animal Ear >> Fur,Orejas de animal >> Pelaje,TRUE
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Orejas de animal >> Contorno del pelaje,TRUE
Animal Ear >> Outline,Animal Ear >> Outline,Orejas de animal >> Contorno,TRUE
Animal Ear <<,Animal Ear <<,Orejas de animal <<,TRUE
Animal Ear << Fur,Animal Ear << Fur,Orejas de animal << Pelaje,TRUE
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Orejas de animal << Contorno del pelaje,TRUE
Animal Ear << Outline,Animal Ear << Outline,Orejas de animal << Contorno,TRUE
Antenna >>,Antenna >>,Antena >>,TRUE
Antenna >> Outline,Antenna >> Outline,Antena >> Contorno,TRUE
Antenna <<,Antenna <<,Antena <<,TRUE
Antenna << Outline,Antenna << Outline,Antena << Contorno,TRUE
Hair Rear,Hair Rear,Pelo trasero,TRUE
Hair Rear Outline,Hair Rear Outline,Contorno del pelo trasero,TRUE
Beverage Cup,Beverage Cup,Vaso de bebida,TRUE
Beverage Liquid,Beverage Liquid,Líquido del vaso,TRUE
Beverage Liquid 2,Beverage Liquid 2,Líquido del vaso 2,TRUE
Bill,Bill,Billetes,TRUE
Blanket Inner,Blanket Inner,Manta interior,TRUE
Blanket Outter,Blanket Outter,Manta exterior,TRUE
Face Blush,Face Blush,Rubor,TRUE
Brow >>,Brow >>,Ceja >>,TRUE
Brow <<,Brow <<,Ceja <<,TRUE
Chopstick,Chopstick,Palillos,TRUE
Crowbar,Crowbar,Palanca,TRUE
Cup,Cup,Taza,TRUE
Cup Steam,Cup Steam,Vapor de la taza,TRUE
Door/Wall,Door/Wall,Puerta/Pared,TRUE
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Pupila (tonta) >>,TRUE
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Pupila (tonta) <<,TRUE
Eyebag,Eyebag,Ojeras,TRUE
Eye Iris Dark >>,Eye Iris Dark >>,Iris Oscuro >>,TRUE
Eye Iris Dark <<,Eye Iris Dark <<,Iris Oscuro <<,TRUE
Eye Dollar,Eye Dollar,Ojos de dinero,TRUE
Eye Heart,Eye Heart,Ojos de corazón,TRUE
Eye Highlight,Eye Highlight,Brillo del ojo,TRUE
Eyelashes,Eyelashes,Pestañas,TRUE
Eye Iris Light >>,Eye Iris Light >>,Brillo del iris >>,TRUE
Eye Iris Light <<,Eye Iris Light <<,Brillo del iris <<,TRUE
Eye(Dum) Outline,Eye(Dum) Outline,Contorno de ojo (tonto),TRUE
Eye Sparkling,Eye Sparkling,Ojos chispeantes,TRUE
Eye Spiral,Eye Spiral,Espiral en los ojos,TRUE
Eye White,Eye White,Ojo blanco,TRUE
Face Shadow,Face Shadow,Sombra de la cara,TRUE
Fin >>,Fin >>,Aleta >>,TRUE
Fin >> Outline,Fin >> Outline,Aleta >> Contorno,TRUE
Fin <<,Fin <<,aleta <<,TRUE
Fin << Outline,Fin << Outline,Fin << Contorno,TRUE
Hair Framing >>,Hair Framing >>,Mechón frontal >>,TRUE
Hair Framing >> Outline,Hair Framing >> Outline,Mechón frontal >> Contorno,TRUE
Hair Framing <<,Hair Framing <<,Mechón frontal <<,TRUE
Hair Framing << Outline,Hair Framing << Outline,Mechón frontal << Contorno,TRUE
Gill,Gill,Branquia,TRUE
Gill Outline,Gill Outline,Contorno de la branquia,TRUE
Glasses,Glasses,Anteojos,TRUE
Hairband A,Hairband A,Diadema A,TRUE
Hairband A Outline,Hairband A Outline,Contorno de Diadema A,TRUE
Hairband B,Hairband B,Diadema B,TRUE
Hairband B Outline,Hairband B Outline,Contorno de Diadema B,TRUE
Hairband C,Hairband C,Diadema C,TRUE
Hairband C Outline,Hairband C Outline,Contorno de Diadema C,TRUE
Hairband D,Hairband D,Diadema D,TRUE
Hairband D Outline,Hairband D Outline,Contorno de Diadema D,TRUE
Hair Bang >>,Hair Bang >>,Flequillo >>,TRUE
Hair Bang >> Outline,Hair Bang >> Outline,Flequillo >> Contorno,TRUE
Hair Bang ><,Hair Bang ><,Flequillo ><,TRUE
Hair Bang >< Outline,Hair Bang >< Outline,Flequillo >< Contorno,TRUE
Hair Bang <<,Hair Bang <<,Flequillo <<,TRUE
Hair Bang << Outline,Hair Bang << Outline,Flequillo << Contorno,TRUE
Hair Clip >>,Hair Clip >>,Pinza para el pelo >>,TRUE
Hair Clip >> Outline,Hair Clip >> Outline,Pinza para el cabello >> Contorno,TRUE
Hair Clip <<,Hair Clip <<,Pinza para el pelo <<,TRUE
Hair Clip << Outline,Hair Clip << Outline,Pinza para el cabello << Contorno,TRUE
Hair Highlight 1 >>,Hair Highlight 1 >>,Mechas de cabello 1 >>,TRUE
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Mechas de cabello 1 >> Contorno,TRUE
Hair Highlight 2 >>,Hair Highlight 2 >>,Mechas de cabello 2 >>,TRUE
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Mechas de cabello 2 >> Contorno,TRUE
Hair Highlight 3 >>,Hair Highlight 3 >>,Mechas de cabello 3 >>,TRUE
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Mechas de cabello 3 >> Contorno,TRUE
Hair Highlight 1 ><,Hair Highlight 1 ><,Mechas de cabello 1 ><,TRUE
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Mechas de cabello 1 >< Contorno,TRUE
Hair Highlight 2 ><,Hair Highlight 2 ><,Mechas de cabello 2 ><,TRUE
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Mechas de cabello 2 >< Contorno,TRUE
Hair Highlight 3 ><,Hair Highlight 3 ><,Destacado del cabello 3 ><,TRUE
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Mechas de cabello 3 >< Contorno,TRUE
Hair Highlight 4 ><,Hair Highlight 4 ><,Mechas de cabello 4 ><,TRUE
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Mechas de cabello 4 >< Contorno,TRUE
Hair Highlight 5 ><,Hair Highlight 5 ><,Mechas de cabello 5 ><,TRUE
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Mechas de cabello 5 >< Contorno,TRUE
Hair Highlight 6 ><,Hair Highlight 6 ><,Mechas de cabello 6 ><,TRUE
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Mechas de cabello 6 >< Contorno,TRUE
Hair Highlight 1 <<,Hair Highlight 1 <<,Mechas de cabello 1 <<,TRUE
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Mechas de cabello 1 << Contorno,TRUE
Hair Highlight 2 <<,Hair Highlight 2 <<,Mechas de cabello 2 <<,TRUE
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Mechas de cabello 2 << Contorno,TRUE
Hair Highlight 3 <<,Hair Highlight 3 <<,Mechas de cabello 3 <<,TRUE
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Mechas de cabello 3 << Contorno,TRUE
Hairline Outline,Hairline Outline,Contorno de la rayita,TRUE
Hair Shine,Hair Shine,Brillo del cabello,TRUE
Hair Shine Outline,Hair Shine Outline,Contorno del brillo del cabello,TRUE
Halo,Halo,Halo,TRUE
Halo Outline,Halo Outline,Contorno del halo,TRUE
Hat,Hat,Sombrero,TRUE
Hat Outline,Hat Outline,Contorno del sombrero,TRUE
Hat Secondary,Hat Secondary,Sombrero Secundario,TRUE
Hat Secondary Outline,Hat Secondary Outline,Contorno del sombrero secundario,TRUE
Hammer,Hammer,Martillo,TRUE
Ear Wing >>,Ear Wing >>,Ala de oreja >>,TRUE
Ear Wing >> Outline,Ear Wing >> Outline,Ala de oreja >> Contorno,TRUE
Ear Wing <<,Ear Wing <<,Ala de oreja <<,TRUE
Ear Wing << Outline,Ear Wing << Outline,Ala de oreja << Contorno,TRUE
Heart,Heart,Corazón,TRUE
Horn >>,Horn >>,Cuerno >>,TRUE
Horn >> Outline,Horn >> Outline,Cuerno >> Contorno,TRUE
Horn <<,Horn <<,Cuerno <<,TRUE
Horn << Outline,Horn << Outline,Cuerno << Contorno,TRUE
Horn ><,Horn ><,Cuerno ><,TRUE
Horn >< Outline,Horn >< Outline,Cuerno >< Contorno,TRUE
Jail Grill,Jail Grill,Barrotes de la cárcel,TRUE
Keyboard,Keyboard,Teclado,TRUE
Kitchen Knife,Kitchen Knife,Cuchillo de cocina,TRUE
Laptop,Laptop,Computadora portátil,TRUE
Laptop Light,Laptop Light,Luz de la computadora portátil,TRUE
Leg >>,Leg >>,Pierna >>,TRUE
Leg <<,Leg <<,Pierna <<,TRUE
Lightstick Handle,Lightstick Handle,Mango del Lightstick,TRUE
Light Stick >>,Light Stick >>,Lightstick >>,TRUE
Light Stick <<,Light Stick <<,Lightstick <<,TRUE
Mecha,Mecha,Mecha,TRUE
Mecha >>,Mecha >>,Mecha >>,TRUE
Mecha >> Outline,Mecha >> Outline,Mecha >> Contorno,TRUE
Mecha Outline,Mecha Outline,Contorno del mecha,TRUE
Mecha <<,Mecha <<,Mecha <<,TRUE
Mecha << Outline,Mecha << Outline,Mecha << Contorno,TRUE
Mouse,Mouse,Ratón,TRUE
Mouth/Tongue,Mouth/Tongue,Boca/Lengua,TRUE
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Sombra de boca/lengua,TRUE
Notepad,Notepad,Bloc de notas,TRUE
Outfit Collar,Outfit Collar,Cuello del Outfit,TRUE
Outfit Collar Outline,Outfit Collar Outline,Contorno del cuello del Outfit,TRUE
Outfit Inner,Outfit Inner,Outfit interior,TRUE
Outfit Inner Outline,Outfit Inner Outline,Contorno del Outfit interior,TRUE
Outfit Neckwear A,Outfit Neckwear A,Accesorios de cuello A,TRUE
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Contorno del accesorio de cuello A,TRUE
Outfit Neckwear B,Outfit Neckwear B,Accesorios de cuello B,TRUE
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Contorno del accesorio de cuello B,TRUE
Outfit Neckwear C,Outfit Neckwear C,Accesorios de cuello C,TRUE
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Contorno del accesorio de cuello C,TRUE
Outfit Outer,Outfit Outer,Traje exterior,TRUE
Outfit Outer Outline,Outfit Outer Outline,Contorno del traje exterior,TRUE
Pencil,Pencil,Lápiz,TRUE
Phone,Phone,Teléfono,TRUE
Phone Light,Phone Light,Luz del teléfono,TRUE
Hair Pigtail >>,Hair Pigtail >>,Coleta de pelo >>,TRUE
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Coleta de pelo >> Contorno,TRUE
Hair Pigtail <<,Hair Pigtail <<,Coleta de pelo <<,TRUE
Hair Pigtail << Outline,Hair Pigtail << Outline,Coleta de pelo << Contorno,TRUE
Rose,Rose,Rosa,TRUE
Round Sign,Round Sign,Señal redonda,TRUE
Round Sign Text,Round Sign Text,Texto de la señal redonda,TRUE
Hair Side,Hair Side,Cabello de los lados trasero,TRUE
Hair Side Outline,Hair Side Outline,Contorno del cabello de los lados trasero,TRUE
Skin,Skin,Piel,TRUE
Skin Outline,Skin Outline,Contorno de la piel,TRUE
Square Sign,Square Sign,Señal cuadrada,TRUE
Square Sign Text,Square Sign Text,Texto de la señal cuadrada,TRUE
Steering Wheel,Steering Wheel,Volante,TRUE
Gas Bottle,Gas Bottle,Tanque de Copium,TRUE
Pat Hand,Pat Hand,Mano de la palmadita,TRUE
Sticker Alert,Sticker Alert,Color de la alerta,TRUE
Sticker Alert Effect,Sticker Alert Effect,Efecto de la alerta,TRUE
Sticker Alert Outline,Sticker Alert Outline,Contorno de la alerta,TRUE
Sticker Angry,Sticker Angry,Efecto enojado,TRUE
Sticker Exclamation Mark,Sticker Exclamation Mark,Signo de exclamación,TRUE
Sticker Ghost,Sticker Ghost,Efecto Fantasma,TRUE
Sticker Heart,Sticker Heart,Efecto Corazón,TRUE
Sticker Laugh,Sticker Laugh,Efecto Risa,TRUE
Sticker Question Mark,Sticker Question Mark,Signo de interrogación,TRUE
Sticker Sleep,Sticker Sleep,Efecto Dormir,TRUE
Sticker Star,Sticker Star,Efecto Estrella,TRUE
Sticker Steam,Sticker Steam,Efecto Vapor,TRUE
Sticker Surprise,Sticker Surprise,Efecto Sorpresa,TRUE
Sticker Sweat,Sticker Sweat,Gota de Sudor,TRUE
Sticker Sweat (Large),Sticker Sweat (Large),Gota de Sudor (Grande),TRUE
Sticker Volume,Sticker Volume,Efecto de Volumen,TRUE
Sticky Note,Sticky Note,Nota adhesiva,TRUE
Sticky Note Text,Sticky Note Text,Texto de nota adhesiva,TRUE
Eye Tear,Eye Tear,Lágrima del ojo,TRUE
Utensil,Utensil,Utensilio,TRUE
Outfit Collar String,Outfit Collar String,Cordón del cuello del Outfit,TRUE
Bell,Bell,Campana,FALSE
Confetti 1,Confetti 1,Confeti 1,FALSE
Confetti 2,Confetti 2,Confeti 2,FALSE
Confetti 3,Confetti 3,Confeti 3,FALSE
Microphone,Microphone,Micrófono,FALSE
Gleam,Gleam,Destello,FALSE
Video Camera,Video Camera,Cámara de video,FALSE
Point Hand,Point Hand,Punto de la mano,FALSE
Bowl,Bowl,Bol,FALSE
Cake,Cake,Pastel,FALSE
Candle Fire,Candle Fire,fuego de vela,FALSE
Drawing Tablet,Drawing Tablet,tableta de dibujo,FALSE
Love Letter,Love Letter,carta de amor,FALSE
Popper,Popper,Corchete,FALSE
Stylus,Stylus,Aguja,FALSE
Tablet,Tablet,Tableta,FALSE
Musical Note 1,Musical Note 1,Nota musical 1,FALSE
Musical Note 2,Musical Note 2,Nota musical 2,FALSE
Phone Screen,Phone Screen,Pantalla del teléfono,FALSE
Tail,Tail,Cola,FALSE
Tail Outline,Tail Outline,Contorno de la cola,FALSE
Wing >>,Wing >>,Ala >>,FALSE
Wing >> Outline,Wing >> Outline,Ala >> Contorno,FALSE
Wing <<,Wing <<,Ala <<,FALSE
Wing << Outline,Wing << Outline,Ala << Contorno,FALSE
