Key,en,fr,reviewed
Alert Bits,Alert Bits,Alerte de Bits,True
Alert Donation,Alert Donation,Alerte de Don,True
Alert Heart,Alert Heart,Alerte Cœur,True
Alert Like,Alert Like,Alerte J'aime,True
Alert Star,Alert Star,Alerte Étoile,True
Angry,Angry,Colère,True
Arrive,Arrive,Arriver,True
Arrive (with Chopstick),Arrive (with Chopstick),Arriver (avec des Baguettes),True
Arrive (with Spoon),Arrive (with Spoon),Arriver (avec une Cuillère),True
Bonk,Bonk,Bonk,True
Copium,Copium,Copium,True
Crowbar 1,Crowbar 1,Pied de Biche 1,True
Crowbar 2,Crowbar 2,Pied de Biche 2,True
Crowbar 3,Crowbar 3,Pied de Biche 3,True
Cry 1,Cry 1,Pleurer 1,True
Cry 2,Cry 2,Pleurer 2,True
Cry 3,Cry 3,Pleurer 3,True
Dead,Dead,Mort,True
Dizzy,Dizzy,Étourdi,True
Drink (Beverage Cup),Drink (Beverage Cup),Boisson (Gobelet),True
Drive,Drive,Conduire,True
Drooling (Chopstick),Drooling (Chopstick),Baver (Baguettes),True
Drooling (Fork&Knife),Drooling (Fork&Knife),Bave (Fourchette & Couteau),True
Dum 1,Dum 1,Teuteu 1,True
Dum 2,Dum 2,Teuteu 2,True
Dum 3,Dum 3,Teuteu 3,True
Dum Sticker 1,Dum Sticker 1,Post-it Teuteu 1,True
Dum Sticker 2,Dum Sticker 2,Post-it Teuteu 2,True
Dum Sticker 3,Dum Sticker 3,Post-it Teuteu 3,True
Exclamation,Exclamation,Exclamation,True
Jail 1,Jail 1,Prison 1,True
Jail 2,Jail 2,Prison 2,True
Knife 1,Knife 1,Couteau 1,True
Knife 2,Knife 2,Couteau 2,True
Laugh,Laugh,Rire,True
Lick,Lick,Lécher,True
Lightstick 1,Lightstick 1,Bâton lumineux 1,True
Lightstick 2,Lightstick 2,Bâton lumineux 2,True
Lurk 1,Lurk 1,Lurk 1,True
Lurk 2,Lurk 2,Lurk 2,True
Luv 1,Luv 1,Amour 1,True
Luv 2,Luv 2,Amour 2,True
Luv 3,Luv 3,Amour 3,True
Money,Money,Argent,True
Mute 1,Mute 1,Muet 1,True
Mute 2,Mute 2,Muet 2,True
Nervous 1,Nervous 1,Nerveux 1,True
Nervous 2,Nervous 2,Nerveux 2,True
Noted 1,Noted 1,Noter 1,True
Noted 2,Noted 2,Noter 2,True
Pat,Pat,Pat,True
Point,Point,Indiquer,True
Question,Question,Question,True
Raid 1,Raid 1,Raid 1,True
Raid 2,Raid 2,Raid 2,True
RedPacket 1,RedPacket 1,Enveloppe Rouge 1,True
RedPacket 2,RedPacket 2,Enveloppe Rouge 2,True
Rose,Rose,Rose,True
Score (0 Point),Score (0 Point),Score (0 point),True
Score (10 Point),Score (10 Point),Score (10 points),True
Shy 1,Shy 1,Timide 1,True
Shy 2,Shy 2,Timide 2,True
Sleep (Normal),Sleep (Normal),Dodo (Normal),True
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Dodo (Scroll 1),True
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Dodo (Scroll 2),True
Sleep (UU),Sleep (UU),Dodo (UU),True
Surprise,Surprise,Surpris,True
Sweat,Sweat,Transpirer,True
Thumb Down,Thumb Down,Pouce vers le Bas,True
Thumb Up,Thumb Up,Pouce vers le Haut,True
Type Angry,Type Angry,Taper en Colère,True
Type Annoyed,Type Annoyed,Taper Saoulé,True
Type Normal,Type Normal,Taper Normal,True
Work Angry,Work Angry,Travailler en Colère,True
Work Nap,Work Nap,Siester au travail,True
Work Normal,Work Normal,Travailler classique,True
Work Tired,Work Tired,Travailler Fatigué ,True
Bell,Bell,Cloche,True
Cake,Cake,Gâteau,True
