Key,en,fr,reviewed
Brows,Brows,Sourcils,True
Ear,Ear,Oreilles,True
Eye,Eye,Œil,True
Base Hair,Base Hair,Base des Cheveux,True
Hair Bang >>,Hair Bang >>,Frange >>,True
Hair Bang ><,Hair Bang ><,Frange ><,True
Hair Bang <<,Hair Bang <<,Frange <<,True
Hair Shine,Hair Shine,Lumière des cheveux,True
Hair Branch >>,Hair Branch >>,Épi >>,True
Hair Branch <<,Hair Branch <<,Épi <<,True
Hair Framing >>,Hair Framing >>,Mèche Visage Côté  >>,True
Hair Framing <<,Hair Framing <<,Mèche Visage Côté  <<,True
Hair Framing,Hair Framing,Mèche Visage Côté,True
Hair Highlight 1 >>,Hair Highlight 1 >>,Mèche Individuelle >> 1,True
Hair Highlight 2 >>,Hair Highlight 2 >>,Mèche Individuelle >> 2,True
Hair Highlight 3 >>,Hair Highlight 3 >>,Mèche Individuelle >> 3,True
Hair Highlight 1 ><,Hair Highlight 1 ><,Mèche Individuelle >< 1,True
Hair Highlight 2 ><,Hair Highlight 2 ><,Mèche Individuelle >< 2,True
Hair Highlight 3 ><,Hair Highlight 3 ><,Mèche Individuelle >< 3,True
Hair Highlight 4 ><,Hair Highlight 4 ><,Mèche Individuelle >< 4,True
Hair Highlight 5 ><,Hair Highlight 5 ><,Mèche Individuelle >< 5,True
Hair Highlight 6 ><,Hair Highlight 6 ><,Mèche Individuelle >< 6,True
Hair Highlight 1 <<,Hair Highlight 1 <<,Mèche Individuelle << 1,True
Hair Highlight 2 <<,Hair Highlight 2 <<,Mèche Individuelle << 2,True
Hair Highlight 3 <<,Hair Highlight 3 <<,Mèche Individuelle << 3,True
Hair Side,Hair Side,Cheveux Côtés,True
Hair Ahoge,Hair Ahoge,Cheveux Ahoge,True
Hair Rear,Hair Rear,Cheveux Arrières,True
Hair Pigtail >>,Hair Pigtail >>,Couette >>,True
Hair Pigtail <<,Hair Pigtail <<,Couette <<,True
Animal Ear,Animal Ear,Oreilles d'Animaux,True
Antenna,Antenna,Antennes,True
Fin,Fin,Nageoires,True
Gill,Gill,Branchies,True
Glasses,Glasses,Lunettes,True
Hairband A,Hairband A,Bandeau A,True
Hairband B,Hairband B,Bandeau B,True
Hairband C,Hairband C,Bandeau C,True
Hairband D,Hairband D,Bandeau D,True
Hair Clip >>,Hair Clip >>,Pince à Cheveux >>,True
Hair Clip <<,Hair Clip <<,Pince à Cheveux <<,True
Halo,Halo,Halo,True
Hat,Hat,Chapeau,True
Ear Wing,Ear Wing,Ailes d'Oreilles,True
Horn,Horn,Cornes,True
Horn Front ><,Horn Front ><,Corne avant ><,True
Horn Front,Horn Front,Corne avant,True
Mecha,Mecha,Mecha,True
Outfit Collar Inner,Outfit Collar Inner,Tenue Col Intérieur,True
Outfit Inner,Outfit Inner,Tenue Intérieure,True
Outfit Outer,Outfit Outer,Tenue Extérieure,True
Outfit Neckwear A,Outfit Neckwear A,Tenue Cravate A,True
Outfit Neckwear B,Outfit Neckwear B,Tenue Cravate B,True
Outfit Neckwear C,Outfit Neckwear C,Tenue Cravate C,True
Hair Side Branch >> A,Hair Side Branch >> A,Épi Cheveux Côté >> A,True
Hair Side Branch >> B,Hair Side Branch >> B,Épi Cheveux Côté>> B,True
Hair Side Branch >> C,Hair Side Branch >> C,Épi Cheveux Côté >> C,True
Hair Side Branch << A,Hair Side Branch << A,Épi Cheveux Côté << A,True
Hair Side Branch << B,Hair Side Branch << B,Épi Cheveux Côté << B,True
Hair Side Branch << C,Hair Side Branch << C,Épi Cheveux Côté << C,True
Tail,Tail,Queue,True
Wing,Wing,Ailes,True
Facial Hair A,Facial Hair A,Barbe,True
Facial Hair B,Facial Hair B,Moustache,True
Cheek,Cheek,Joues,True
Face Feature A >>,Face Feature A >>,Caractéristique Faciale A >>,True
Face Feature A <<,Face Feature A <<,Caractéristique Faciale A <<,True
Face Feature B >>,Face Feature B >>,Caractéristique Faciale B >>,True
Face Feature B <<,Face Feature B <<,Caractéristique Faciale B <<,True
Face Feature C,Face Feature C,Caractéristique Faciale C,True
Nose,Nose,Nez,True
Earring >>,Earring >>,Boucle d'oreille >>,True
Earring <<,Earring <<,Boucle d'oreille <<,True
Piercing A >>,Piercing A >>,Piercing A >>,True
Piercing A <<,Piercing A <<,Piercing A <<,True
Piercing B >>,Piercing B >>,Piercing B >>,True
Piercing B <<,Piercing B <<,Piercing B <<,True
Hand,Hand,Mains,True
Leg,Leg,Jambes,True
Cape Back,Cape Back,Cape Arrière Cape,True
Cape Front,Cape Front,Cape Avant,True
Hair Ponytail,Hair Ponytail,Queue de cheval,False
Eyepatch,Eyepatch,Cache-œil,False
