Key,en,fr,reviewed
Eyelash Length,Eyelash Length,Longueur des cils,True
Brows Distance,Brows Distance,Distance des sourcils,True
Brows Height,Brows Height,Hauteur des sourcils,True
Ear Shape 1,Ear Shape 1,Forme d'oreille 1,True
Ear Shape 2,Ear Shape 2,Forme d'oreille 2,True
Hair Bang >< Length,Hair Bang >< Length,Frange >< Longueur,True
Hair Bang >< Shear,Hair Bang >< Shear,Frange >< Angle,True
Hair Bang >> Position,Hair Bang >> Position,Frange Côté >> Position,True
Hair Bang >> Length,Hair Bang >> Length,Frange Côté >> Longueur,True
Hair Bang >> Shear,Hair Bang >> Shear,Frange Côté >> Angle,True
Hair Bang << Position,Hair Bang << Position,Frange Côté << Position,True
Hair Bang << Length,Hair Bang << Length,Frange Côté << Longueur,True
Hair Bang << Shear,Hair Bang << Shear,Frange Côté << Angle,True
Hair Framing << Length,Hair Framing << Length,Mèche Visage Côté << Longueur,True
Hair Framing >> Length,Hair Framing >> Length,Mèche Visage Côté >> Longueur,True
Hair Side Length,Hair Side Length,Cheveux Côtés Longueur,True
Hair Rear Length,Hair Rear Length,Cheveux Arrières Longueur,True
Ahoge Position,Ahoge Position,Ahoge Position,True
Ahoge Angle,Ahoge Angle,Ahoge Angle,True
Animal Ear & Antenna Position,Animal Ear & Antenna Position,Oreilles & Antennes d'Animaux Position,True
Fin & Gill Position,Fin & Gill Position,Nageoires & Branchies Position,True
Halo Position,Halo Position,Halo Position,True
Hat Position,Hat Position,Chapeau Position,True
Horn >> Length,Horn >> Length,Corne >> Longueur,True
Horn << Length,Horn << Length,Corne << Longueur,True
Horn >< Length,Horn >< Length,Corne >< Longueur,True
Horn Position,Horn Position,Cornes Position,True
Ear Wing Position,Ear Wing Position,Ailes d'Oreilles Position,True
Wing Size,Wing Size,Ailes Taille,True
Wing Position,Wing Position,Aile Position,True
Wing Angle,Wing Angle,Aile Angle,True
Tail Size,Tail Size,Queue Taille,True
Tail Flip,Tail Flip,Queue Retournée,True
Tail Angle,Tail Angle,Queue Angle,True
Hair Pigtail >> Position,Hair Pigtail >> Position,Queue de cochon >> Position,False
Hair Pigtail >> Length,Hair Pigtail >> Length,Queue de cochon >> Longueur,False
Hair Pigtail >> Angle,Hair Pigtail >> Angle,Queue de cochon >> Angle,False
Hair Pigtail << Position,Hair Pigtail << Position,Queue de cochon << Position,False
Hair Pigtail << Length,Hair Pigtail << Length,Queue de cochon << Longueur,False
Hair Pigtail << Angle,Hair Pigtail << Angle,Queue de cochon << Angle,False
Hair Ponytail Width,Hair Ponytail Width,Largeur de la queue de cheval,False
Hair Ponytail Length,Hair Ponytail Length,Longueur de la queue de cheval,False
Hair Ponytail Angle,Hair Ponytail Angle,Angle de queue de cheval,False
Alert Size,Alert Size,Taille de l'alerte,False
