Key,en,fr,reviewed
Hair Ahoge,Hair Ahoge,Ahoge,True
Hair Ahoge Outline,Hair Ahoge Outline,Contour Ahoge,True
Animal Ear >>,Animal Ear >>,Oreille d'Animal >>,True
Animal Ear >> Fur,Animal Ear >> Fur,Oreille d'Animal >> Fourrure,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Oreille d'Animal >> Contour Fourrure,True
Animal Ear >> Outline,Animal Ear >> Outline,Oreille d'Animal >> Contour,True
Animal Ear <<,Animal Ear <<,Oreille d'Animal <<,True
Animal Ear << Fur,Animal Ear << Fur,Oreille d'Animal << Fourrure,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Oreille d'Animal << Contour de Fourrure,True
Animal Ear << Outline,Animal Ear << Outline,Oreille d'Animal << Contour,True
Antenna >>,Antenna >>,Antenne >>,True
Antenna >> Outline,Antenna >> Outline,Contour Antenne >>,True
Antenna <<,Antenna <<,Antenne <<,True
Antenna << Outline,Antenna << Outline,Contour Antenne <<,True
Hair Rear,Hair Rear,Cheveux Arrières,True
Hair Rear Outline,Hair Rear Outline,Contour Cheveux Arrières,True
Beverage Cup,Beverage Cup,Tasse,True
Beverage Liquid,Beverage Liquid,Boisson Liquide,True
Beverage Liquid 2,Beverage Liquid 2,Boisson Liquide 2,True
Bill,Bill,Facture,True
Blanket Inner,Blanket Inner,Couverture Interieur,True
Blanket Outter,Blanket Outter,Couverture Exterieur,True
Face Blush,Face Blush,Fard à Joues,True
Brow >>,Brow >>,Sourcil >>,True
Brow <<,Brow <<,Sourcil <<,True
Chopstick,Chopstick,Baguettes,True
Crowbar,Crowbar,Pied de Biche,True
Cup,Cup,Gobelet,True
Cup Steam,Cup Steam,Vapeur Tasse,True
Door/Wall,Door/Wall,Porte/Mur,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Oeil (Teuteu) Pupille >>,True
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Oeil (Teuteu) Pupille <<,True
Eyebag,Eyebag,Cernes,True
Eye Iris Dark >>,Eye Iris Dark >>,Œil Foncé >>,True
Eye Iris Dark <<,Eye Iris Dark <<,Œil Foncé <<,True
Eye Dollar,Eye Dollar,Yeux Dollars,True
Eye Heart,Eye Heart,Yeux Coeurs,True
Eye Highlight,Eye Highlight,Œil Lumière,True
Eyelashes,Eyelashes,Cils,True
Eye Iris Light >>,Eye Iris Light >>,Œil Clair >>,True
Eye Iris Light <<,Eye Iris Light <<,Œil Clair <<,True
Eye(Dum) Outline,Eye(Dum) Outline,Contour de l'Œil (Teuteu),True
Eye Sparkling,Eye Sparkling,Yeux en Étoiles,True
Eye Spiral,Eye Spiral,Yeux en Spirales,True
Eye White,Eye White,Blanc de l'Œil,True
Face Shadow,Face Shadow,Ombre du Visage,True
Fin >>,Fin >>,Nageoires >>,True
Fin >> Outline,Fin >> Outline,Contour Nageoires >>,True
Fin <<,Fin <<,Nageoires <<,True
Fin << Outline,Fin << Outline,Contour Nageoires <<,True
Hair Framing >>,Hair Framing >>,Mèche Visage Côté >>,True
Hair Framing >> Outline,Hair Framing >> Outline,Contour Mèche Visage Côté >>,True
Hair Framing <<,Hair Framing <<,Mèche Visage Côté <<,True
Hair Framing << Outline,Hair Framing << Outline,Contour Mèche Visage Côté <<,True
Gill,Gill,Branchies ,True
Gill Outline,Gill Outline,Contour Branchies ,True
Glasses,Glasses,Lunettes,True
Hairband A,Hairband A,Bandeau A,True
Hairband A Outline,Hairband A Outline,Contour Bandeau A,True
Hairband B,Hairband B,Bandeau B,True
Hairband B Outline,Hairband B Outline,Contour Bandeau B,True
Hairband C,Hairband C,Bandeau C,True
Hairband C Outline,Hairband C Outline,Contour Bandeau C,True
Hairband D,Hairband D,Bandeau D,True
Hairband D Outline,Hairband D Outline,Contour Bandeau D,True
Hair Bang >>,Hair Bang >>,Frange Côté >>,True
Hair Bang >> Outline,Hair Bang >> Outline,Contour Frange Côté >>,True
Hair Bang ><,Hair Bang ><,Frange ><,True
Hair Bang >< Outline,Hair Bang >< Outline,Contour Frange ><,True
Hair Bang <<,Hair Bang <<,Frange Côté <<,True
Hair Bang << Outline,Hair Bang << Outline,Contour Frange Côté <<,True
Hair Clip >>,Hair Clip >>,Pince à Cheveux >>,True
Hair Clip >> Outline,Hair Clip >> Outline,Contour Pince à Cheveux >>,True
Hair Clip <<,Hair Clip <<,Pince à Cheveux <<,True
Hair Clip << Outline,Hair Clip << Outline,Contour Pince à Cheveux <<,True
Hair Highlight 1 >>,Hair Highlight 1 >>,Mèches Individuelle 1 >>,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Contour Mèches Individuelle 1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,Mèches Individuelle 2 >>,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Contour Individuelle 2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,Mèches Individuelle 3 >>,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Contour Mèches Individuelle 3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,Mèches Individuelle 1 ><,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Contour Mèches Individuelle 1 ><,True
Hair Highlight 2 ><,Hair Highlight 2 ><,Mèches Individuelle 2 ><,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Contour Mèches Individuelle 2 ><,True
Hair Highlight 3 ><,Hair Highlight 3 ><,Mèches Individuelle 3 ><,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Contour Mèches Individuelle 3 ><,True
Hair Highlight 4 ><,Hair Highlight 4 ><,Mèches Individuelle 4 ><,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Contour Mèches Individuelle 4 ><,True
Hair Highlight 5 ><,Hair Highlight 5 ><,Mèches Individuelle 5 ><,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Contour Mèches Individuelle 5 ><,True
Hair Highlight 6 ><,Hair Highlight 6 ><,Mèches Individuelle 6 ><,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Contour Mèches Individuelle 6 ><,True
Hair Highlight 1 <<,Hair Highlight 1 <<,Mèches Individuelle 1 <<,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Contour Mèches Individuelle 1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,Mèches Individuelle 2 <<,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Contour Mèches Individuelle 2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,Mèches Individuelle 3 <<,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Contour Mèches Individuelle 3 <<,True
Hairline Outline,Hairline Outline,Contour Implantation Cheveux,True
Hair Shine,Hair Shine,Lumière Cheveux,True
Hair Shine Outline,Hair Shine Outline,Contour Lumière Cheveux,True
Halo,Halo,Halo,True
Halo Outline,Halo Outline,Contour du Halo,True
Hat,Hat,Chapeau,True
Hat Outline,Hat Outline,Contour Chapeau,True
Hat Secondary,Hat Secondary,Chapeau Secondaire,True
Hat Secondary Outline,Hat Secondary Outline,Contour Chapeau Secondaire,True
Hammer,Hammer,Marteau,True
Ear Wing >>,Ear Wing >>,Aile d'Oreille >>,True
Ear Wing >> Outline,Ear Wing >> Outline,Contour Aile d'Oreille >>,True
Ear Wing <<,Ear Wing <<,Aile d'Oreille <<,True
Ear Wing << Outline,Ear Wing << Outline,Contour Aile d'Oreille <<,True
Heart,Heart,Cœur,True
Horn >>,Horn >>,Corne >>,True
Horn >> Outline,Horn >> Outline,Contour Corne >>,True
Horn <<,Horn <<,Corne <<,True
Horn << Outline,Horn << Outline,Contour Corne <<,True
Horn ><,Horn ><,Corne ><,True
Horn >< Outline,Horn >< Outline,Contour Corne ><,True
Jail Grill,Jail Grill,Grille de Prison,True
Keyboard,Keyboard,Clavier,True
Kitchen Knife,Kitchen Knife,Couteau de Cuisine,True
Laptop,Laptop,Ordinateur Portable,True
Laptop Light,Laptop Light,Lumière Ordinateur Portable,True
Leg >>,Leg >>,Jambe >>,True
Leg <<,Leg <<,Jambe <<,True
Lightstick Handle,Lightstick Handle,Bâton Lumineux Poignée,True
Light Stick >>,Light Stick >>,Bâton lumineux >>,True
Light Stick <<,Light Stick <<,Bâton lumineux <<,True
Mecha,Mecha,Mecha,True
Mecha >>,Mecha >>,Mecha >>,True
Mecha >> Outline,Mecha >> Outline,Contour Mecha >>,True
Mecha Outline,Mecha Outline,Contour du Mecha,True
Mecha <<,Mecha <<,Mecha <<,True
Mecha << Outline,Mecha << Outline,Contour Mecha <<,True
Mouse,Mouse,Souris,True
Mouth/Tongue,Mouth/Tongue,Bouche/Langue,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Ombre Bouche/Langue,True
Notepad,Notepad,Bloc-Notes,True
Outfit Collar,Outfit Collar,Tenue Col,True
Outfit Collar Outline,Outfit Collar Outline,Contour Tenue Col,True
Outfit Inner,Outfit Inner,Tenue Intérieure,True
Outfit Inner Outline,Outfit Inner Outline,Contour Tenue Intérieure,True
Outfit Neckwear A,Outfit Neckwear A, Cravate A,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Contour Cravate A,True
Outfit Neckwear B,Outfit Neckwear B,Cravate B,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Contour Cravate B,True
Outfit Neckwear C,Outfit Neckwear C,Cravate C,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Contour Cravate C,True
Outfit Outer,Outfit Outer,Tenue Extérieure,True
Outfit Outer Outline,Outfit Outer Outline,Contour Tenue Extérieure,True
Pencil,Pencil,Crayon,True
Phone,Phone,Téléphone,True
Phone Light,Phone Light,Lumière du Téléphone,True
Hair Pigtail >>,Hair Pigtail >>,Queue de cochon >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Contour Couettes >>,True
Hair Pigtail <<,Hair Pigtail <<,Couettes <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,Contour Couettes <<,True
Rose,Rose,Rose,True
Round Sign,Round Sign,Panneau Rond,True
Round Sign Text,Round Sign Text,Texte Panneau Rond,True
Hair Side,Hair Side,Cheveux Côtés,True
Hair Side Outline,Hair Side Outline,Contour Cheveux Côtés,True
Skin,Skin,Peau,True
Skin Outline,Skin Outline,Contour Peau,True
Square Sign,Square Sign,Panneau Carré,True
Square Sign Text,Square Sign Text,Texte Panneau Carré,True
Steering Wheel,Steering Wheel,Volant,True
Gas Bottle,Gas Bottle,Bouteille de Gaz,True
Pat Hand,Pat Hand,Main Pat,True
Sticker Alert,Sticker Alert,"Alerte (Coeur, Pouce etc...)",True
Sticker Alert Effect,Sticker Alert Effect,"Effet Alerte (Coeur, Pouce etc...)",True
Sticker Alert Outline,Sticker Alert Outline,"Contour Alerte (Coeur, Pouce etc...)",True
Sticker Angry,Sticker Angry,Colère,True
Sticker Exclamation Mark,Sticker Exclamation Mark,Point d'Exclamation,True
Sticker Ghost,Sticker Ghost,Fantôme,True
Sticker Heart,Sticker Heart,Coeur,True
Sticker Laugh,Sticker Laugh,Rire,True
Sticker Question Mark,Sticker Question Mark,Point d'Interrogation,True
Sticker Sleep,Sticker Sleep,Sommeil,True
Sticker Star,Sticker Star,Étoile,True
Sticker Steam,Sticker Steam,Vapeur,True
Sticker Surprise,Sticker Surprise,Surprise,True
Sticker Sweat,Sticker Sweat,Sueur,True
