Key,en,it,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editore,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Sei sicuro di voler eliminare il carattere ""{0}""? Questa azione non può essere annullata.",False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Il carattere ""{0}"" esiste già. Sei sicuro di voler sovrascrivere il carattere ""{0}""? Questa azione non può essere annullata.",False
MainMenu.Confirm,Confirm,Confermare,False
MainMenu.Cancel,Cancel,Cancellare,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Inserisci il nome del personaggio:,False
MainMenu.Editor.Model,Models,Modelli,False
MainMenu.Editor.Character,Character,Carattere,False
MainMenu.Editor.Animation,Animation,Animazione,False
MainMenu.Editor.PartsSelection,Choose Parts,Scegli Parti,False
MainMenu.Editor.PartsAdjustment,Adjustment,Regolazione,False
MainMenu.Search,Search...,Ricerca...,False
MainMenu.Editor.SaveCharacter,Save Character,Salva personaggio,False
MainMenu.Editor.Unload,Clear Character,Carattere chiaro,False
MainMenu.Editor.DeleteCharacter,Delete Character,Elimina carattere,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Usa texture personalizzate,False
MainMenu.Editor.ReloadTextures,Reload Textures,Ricarica le texture,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Apri la cartella Texture personalizzata,False
MainMenu.Editor.Color,Color,Colore,False
MainMenu.Editor.TintColor,TintColor,TintaColore,False
MainMenu.Editor.TintBlackColor,TintBlackColor,TintaNeroColore,False
MainMenu.Editor.LICENSE,LICENSE,LICENZA,False
MainMenu.Editor.AssetTypeAA,Built-in,Asset predefiniti,False
MainMenu.Editor.AssetTypeSA,Third-Party,Beni di terzi,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,Il nome non può essere vuoto.,False
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,Il nome non può contenere più di {0} caratteri.,False
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".","Il nome non può contenere il carattere ""{0}"".",False
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.","""{0}"" è un nome riservato e non può essere utilizzato.",False
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,Il nome non può terminare con un punto.,False
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,Il nome non può contenere solo spazi.,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Scarica il modello corrente,False
MainMenu.Settings.GeneralSettings,General Settings,Impostazioni generali,False
MainMenu.Settings.GeneralSettings.Language,Language,Lingua,False
MainMenu.Settings.ViewportSettings,Viewport Settings,Impostazioni della vista,False
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Velocità dello zoom,False
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Velocità di rotazione,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Scala del modello,False
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Scostamento orizzontale,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Offset verticale,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Ripristina le impostazioni della vista,False
MainMenu.Settings.ExportSettings,Animation Export Settings,Impostazioni di esportazione dell'animazione,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Salva posizione,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Esporta preimpostazioni,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,Codificatore,False
MainMenu.Settings.ExportSettings.Width,Width,Larghezza,False
MainMenu.Settings.ExportSettings.Height,Height,Altezza,False
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Limite massimo Conteggio fotogrammi,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Massimo. Conteggio fotogrammi,False
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Soglia alfa,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Abilita dithering,False
