Key,en,ja,reviewed
Alert Bits,Alert Bits,アラートビット,False
Alert Donation,Alert Donation,アラート寄付,False
Alert Heart,Alert Heart,アラートハート,False
Alert Like,Alert Like,アラートのようなもの,False
Alert Star,Alert Star,アラートスター,False
Angry,Angry,怒り,False
Arrive,Arrive,到着,False
Arrive (with Chopstick),Arrive (with Chopstick),到着（箸付き）,False
Arrive (with Spoon),Arrive (with Spoon),到着（スプーン付き）,False
Bonk,Bonk,ボンク,False
Copium,Copium,コピウム,False
Crowbar 1,Crowbar 1,バール1,False
Crowbar 2,Crowbar 2,バール2,False
Crowbar 3,Crowbar 3,バール3,False
Cry 1,Cry 1,泣く1,False
Cry 2,Cry 2,クライ2,False
Cry 3,Cry 3,泣く3,False
Dead,Dead,死んだ,False
Dizzy,Dizzy,めまい,False
Drink (Beverage Cup),Drink (Beverage Cup),ドリンク（ドリンクカップ）,False
Drive,Drive,ドライブ,False
Drooling (Chopstick),Drooling (Chopstick),よだれ（箸）,False
Drooling (Fork&Knife),Drooling (Fork&Knife),よだれ（フォーク＆ナイフ）,False
Dum 1,Dum 1,ダム1,False
Dum 2,Dum 2,ダム2,False
Dum 3,Dum 3,ダム3,False
Dum Sticker 1,Dum Sticker 1,ダムステッカー1,False
Dum Sticker 2,Dum Sticker 2,ダムステッカー2,False
Dum Sticker 3,Dum Sticker 3,ダムステッカー3,False
Exclamation,Exclamation,感嘆符,False
Jail 1,Jail 1,刑務所1,False
Jail 2,Jail 2,刑務所2,False
Knife 1,Knife 1,ナイフ1,False
Knife 2,Knife 2,ナイフ2,False
Laugh,Laugh,笑う,False
Lick,Lick,なめる,False
Lightstick 1,Lightstick 1,ライトスティック 1,False
Lightstick 2,Lightstick 2,ライトスティック 2,False
Lurk 1,Lurk 1,潜む1,False
Lurk 2,Lurk 2,潜む2,False
Luv 1,Luv 1,マブラヴ1,False
Luv 2,Luv 2,マブラヴ2,False
Luv 3,Luv 3,マブラヴ3,False
Money,Money,お金,False
Mute 1,Mute 1,ミュート1,False
Mute 2,Mute 2,ミュート2,False
Nervous 1,Nervous 1,緊張 1,False
Nervous 2,Nervous 2,緊張 2,False
Noted 1,Noted 1,注1,False
Noted 2,Noted 2,注2,False
Pat,Pat,パット,False
Point,Point,ポイント,False
Question,Question,質問,False
Raid 1,Raid 1,レイド1,False
Raid 2,Raid 2,レイド2,False
RedPacket 1,RedPacket 1,レッドパケット 1,False
RedPacket 2,RedPacket 2,レッドパケット2,False
Rose,Rose,薔薇,False
Score (0 Point),Score (0 Point),スコア(0点),False
Score (10 Point),Score (10 Point),スコア(10点),False
Shy 1,Shy 1,恥ずかしがり屋 1,False
Shy 2,Shy 2,恥ずかしがり屋 2,False
Sleep (Normal),Sleep (Normal),睡眠(通常),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),睡眠（準備段階1）,False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),睡眠（準備段階2）,False
Sleep (UU),Sleep (UU),睡眠 (UU),False
Sparkling,Sparkling,スパークリング,False
Surprise,Surprise,驚き,False
Sweat,Sweat,汗,False
Thumb Down,Thumb Down,サムダウン,False
Thumb Up,Thumb Up,サムアップ,False
Type Angry,Type Angry,タイプ「怒り」,False
Type Annoyed,Type Annoyed,タイプはイライラ,False
Type Normal,Type Normal,タイプ ノーマル,False
Work Angry,Work Angry,ワークアングリー,False
Work Nap,Work Nap,仕事の昼寝,False
Work Normal,Work Normal,通常の作業,False
Work Tired,Work Tired,仕事で疲れた,False
