Key,en,ja,reviewed
Hair Ahoge,Hair Ahoge,アホ毛,False
Hair Ahoge Outline,Hair Ahoge Outline,アホ毛の概要,False
Animal Ear >>,Animal Ear >>,獣耳 >>,False
Animal Ear >> Fur,Animal Ear >> Fur,獣耳 >> 毛皮,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,獣耳 >> 毛皮の概要,False
Animal Ear >> Outline,Animal Ear >> Outline,獣耳 >> 概要,False
Animal Ear <<,Animal Ear <<,獣耳 <<,False
Animal Ear << Fur,Animal Ear << Fur,獣耳 << 毛皮,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,獣耳 << 毛皮の輪郭,False
Animal Ear << Outline,Animal Ear << Outline,獣耳 << 概要,False
Antenna >>,Antenna >>,アンテナ >>,False
Antenna >> Outline,Antenna >> Outline,アンテナ >> 概要,False
Antenna <<,Antenna <<,アンテナ <<,False
Antenna << Outline,Antenna << Outline,アンテナ << 概要,False
Hair Rear,Hair Rear,後ろ髪,False
Hair Rear Outline,Hair Rear Outline,髪の毛後ろの輪郭,False
Beverage Cup,Beverage Cup,ドリンクカップ,False
Beverage Liquid,Beverage Liquid,液体飲料,False
Beverage Liquid 2,Beverage Liquid 2,飲料液2,False
Bill,Bill,請求書,False
Blanket Inner,Blanket Inner,ブランケットインナー,False
Blanket Outter,Blanket Outter,ブランケットアウター,False
Face Blush,Face Blush,フェイスブラッシュ,False
Brow >>,Brow >>,眉 >>,False
Brow <<,Brow <<,眉 <<,False
Chopstick,Chopstick,箸,False
Crowbar,Crowbar,バール,False
Cup,Cup,カップ,False
Cup Steam,Cup Steam,カップスチーム,False
Door/Wall,Door/Wall,ドア/壁,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,目（ダム）瞳孔 >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,目（ダム）瞳孔 <<,False
Eyebag,Eyebag,目袋,False
Eye Iris Dark >>,Eye Iris Dark >>,アイリスダーク >>,False
Eye Iris Dark <<,Eye Iris Dark <<,アイリスダーク <<,False
Eye Dollar,Eye Dollar,アイダラー,False
Eye Heart,Eye Heart,アイハート,False
Eye Highlight,Eye Highlight,アイハイライト,False
Eyelashes,Eyelashes,睫毛,False
Eye Iris Light >>,Eye Iris Light >>,アイリスライト >>,False
Eye Iris Light <<,Eye Iris Light <<,アイリスライト <<,False
Eye(Dum) Outline,Eye(Dum) Outline,目（ダム）の輪郭,False
Eye Sparkling,Eye Sparkling,キラキラした瞳,False
Eye Spiral,Eye Spiral,アイスパイラル,False
Eye White,Eye White,アイホワイト,False
Face Shadow,Face Shadow,フェイスシャドウ,False
Fin >>,Fin >>,フィン >>,False
Fin >> Outline,Fin >> Outline,フィン >> 概要,False
Fin <<,Fin <<,フィン <<,False
Fin << Outline,Fin << Outline,フィン << 概要,False
Hair Framing >>,Hair Framing >>,ヘアフレーミング >>,False
