Key,en,ja,reviewed
Brows,Brows,眉,True
Ear,Ear,耳,True
Eye,Eye,目,True
Base Hair,Base Hair,髪ベース,True
Hair Bang >>,Hair Bang >>,前髪 >>,True
Hair Bang ><,Hair Bang ><,前髪 中央,True
Hair Bang <<,Hair Bang <<,前髪 <<,True
Hair Shine,Hair Shine,髪ツヤ,True
Hair Branch >>,Hair Branch >>,髪ハネ >>,True
Hair Branch <<,Hair Branch <<,髪ハネ <<,True
Hair Framing >>,Hair Framing >>,顔まわり髪 >>,True
Hair Framing <<,Hair Framing <<,顔まわり髪 <<,True
Hair Framing,Hair Framing,顔まわり髪,True
Hair Highlight 1 >>,Hair Highlight 1 >>,髪ハイライト1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,髪ハイライト2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,髪ハイライト3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,髪ハイライト1 中央,True
Hair Highlight 2 ><,Hair Highlight 2 ><,髪ハイライト2 中央,True
Hair Highlight 3 ><,Hair Highlight 3 ><,髪ハイライト3 中央,True
Hair Highlight 4 ><,Hair Highlight 4 ><,髪ハイライト4 中央,True
Hair Highlight 5 ><,Hair Highlight 5 ><,髪ハイライト5 中央,True
Hair Highlight 6 ><,Hair Highlight 6 ><,髪ハイライト6 中央,True
Hair Highlight 1 <<,Hair Highlight 1 <<,髪ハイライト1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,髪ハイライト2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,髪ハイライト3 <<,True
Hair Side,Hair Side,横髪,True
Hair Ahoge,Hair Ahoge,アホ毛,True
Hair Rear,Hair Rear,後ろ髪,True
Hair Pigtail >>,Hair Pigtail >>,おさげ >>,True
Hair Pigtail <<,Hair Pigtail <<,おさげ <<,True
Animal Ear,Animal Ear,ケモ耳,True
Antenna,Antenna,アンテナ,True
Fin,Fin,ヒレ,True
Gill,Gill,エラ,True
Glasses,Glasses,メガネ,True
Hairband A,Hairband A,ヘアバンドA,True
Hairband B,Hairband B,ヘアバンドB,True
Hairband C,Hairband C,ヘアバンドC,True
Hairband D,Hairband D,ヘアバンドD,True
Hair Clip >>,Hair Clip >>,ヘアクリップ >>,True
Hair Clip <<,Hair Clip <<,ヘアクリップ <<,True
Halo,Halo,天使の輪,True
Hat,Hat,帽子,True
Ear Wing,Ear Wing,耳羽,True
Horn,Horn,角,True
Horn Front ><,Horn Front ><,角 前中央,True
Horn Front,Horn Front,角 前,True
Mecha,Mecha,メカ,True
Outfit Collar Inner,Outfit Collar Inner,襟 内側,True
Outfit Inner,Outfit Inner,服 内側,True
Outfit Outer,Outfit Outer,服 外側,True
Outfit Neckwear A,Outfit Neckwear A,首の衣装A,True
Outfit Neckwear B,Outfit Neckwear B,首の衣装B,True
Outfit Neckwear C,Outfit Neckwear C,首の衣装C,True
Hair Side Branch >> A,Hair Side Branch >> A,横髪 ハネ >> A,True
Hair Side Branch >> B,Hair Side Branch >> B,横髪 ハネ >> B,True
Hair Side Branch >> C,Hair Side Branch >> C,横髪 ハネ >> C,True
Hair Side Branch << A,Hair Side Branch << A,横髪 ハネ << A,True
Hair Side Branch << B,Hair Side Branch << B,横髪 ハネ << B,True
Hair Side Branch << C,Hair Side Branch << C,横髪 ハネ << C,True
Tail,Tail,しっぽ,False
Wing,Wing,翼,False
Facial Hair A,Facial Hair A,ひげA,False
Facial Hair B,Facial Hair B,ひげB,False
Cheek,Cheek,頬,False
Face Feature A >>,Face Feature A >>,顔の特徴A >>,False
Face Feature A <<,Face Feature A <<,顔の特徴 A <<,False
Face Feature B >>,Face Feature B >>,顔の特徴B >>,False
Face Feature B <<,Face Feature B <<,顔の特徴 B <<,False
Face Feature C,Face Feature C,顔の特徴 C,False
Nose,Nose,鼻,False
Earring >>,Earring >>,イヤリング >>,False
Earring <<,Earring <<,イヤリング <<,False
Piercing A >>,Piercing A >>,ピアスA >>,False
Piercing A <<,Piercing A <<,ピアスA <<,False
Piercing B >>,Piercing B >>,ピアスB >>,False
Piercing B <<,Piercing B <<,ピアスB <<,False
Hand,Hand,手,False
Leg,Leg,脚,False
Cape Back,Cape Back,ケープバック,False
Cape Front,Cape Front,ケープフロント,False
Hair Ponytail,Hair Ponytail,ヘアポニーテール,False
Eyepatch,Eyepatch,眼帯,False
