Key,en,ru,reviewed
Alert Bits,Alert Bits,"Уведомление ""Twitch Bits""",False
Alert Donation,Alert Donation,"Уведомление ""Донат""",False
Alert Heart,Alert Heart,"Уведомление ""Сердце""",False
Alert Like,Alert Like,"Уведомление ""Нравится""",False
Alert Star,Alert Star,"Уведомление ""Звезда""",False
Angry,Angry,Злой,False
Arrive,Arrive,Подбежать,False
Arrive (with Chopstick),Arrive (with Chopstick),Подбежать (с палочками для еды),False
Arrive (with Spoon),Arrive (with Spoon),Подбежать (с ложкой),False
Bonk,Bonk,Боньк,False
Copium,Copium,Копиум,False
Crowbar 1,Crowbar 1,Лом 1,False
Crowbar 2,Crowbar 2,Лом 2,False
Crowbar 3,Crowbar 3,Лом 3,False
Cry 1,Cry 1,Плач 1,False
Cry 2,Cry 2,Плач 2,False
Cry 3,Cry 3,Плач 3,False
Dead,Dead,Умер,False
Dizzy,Dizzy,Вскружило голову,False
Drink (Beverage Cup),Drink (Beverage Cup),Пить (Стаканчик с напитком),False
Drive,Drive,Водить машину,False
Drooling (Chopstick),Drooling (Chopstick),Слюни (Палочки для еды),False
Drooling (Fork&Knife),Drooling (Fork&Knife),Слюни (Вилка и нож),False
Dum 1,Dum 1,Глупик 1,False
Dum 2,Dum 2,Глупик 2,False
Dum 3,Dum 3,Глупик 3,False
Dum Sticker 1,Dum Sticker 1,Глупик со стикером 1,False
Dum Sticker 2,Dum Sticker 2,Глупик со стикером 2,False
Dum Sticker 3,Dum Sticker 3,Глупик со стикером 3,False
Exclamation,Exclamation,"Удивление ""!!""",False
Jail 1,Jail 1,Тюрьма 1,False
Jail 2,Jail 2,Тюрьма 2,False
Knife 1,Knife 1,Нож 1,False
Knife 2,Knife 2,Нож 2,False
Laugh,Laugh,Смех,False
Lick,Lick,Лизь языком,False
Lightstick 1,Lightstick 1,Лайтстик 1,False
Lightstick 2,Lightstick 2,Лайтстик 2,False
Lurk 1,Lurk 1,Подглядывать 1,False
Lurk 2,Lurk 2,Подглядывать 2,False
Luv 1,Luv 1,Любовь 1,False
Luv 2,Luv 2,Любовь 2,False
Luv 3,Luv 3,Любовь 3,False
Money,Money,Деньги,False
Mute 1,Mute 1,Беззвучный 1,False
Mute 2,Mute 2,Беззвучный 2,False
Nervous 1,Nervous 1,Нервный 1,False
Nervous 2,Nervous 2,Нервный 2,False
Noted 1,Noted 1,Записано 1,False
Noted 2,Noted 2,Записано 2,False
Pat,Pat,Гладь по голове,False
Point,Point,Обвинение,False
Question,Question,Возник вопрос,False
Raid 1,Raid 1,Рейд 1,False
Raid 2,Raid 2,Рейд 2,False
RedPacket 1,RedPacket 1,Конверт 1,False
RedPacket 2,RedPacket 2,Конверт 2,False
Rose,Rose,Роза,False
Score (0 Point),Score (0 Point),Оценка (0 очков),False
Score (10 Point),Score (10 Point),Оценка (10 баллов),False
Shy 1,Shy 1,Смущение 1,False
Shy 2,Shy 2,Смущение 2,False
Sleep (Normal),Sleep (Normal),Сон (нормальный),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Сон (подготовка ко сну 1),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Сон (подготовка ко сну 2),False
Sleep (UU),Sleep (UU),Сон (UwU),False
Surprise,Surprise,Сюрприз,False
