Key,en,ru,reviewed
Brows,Brows,Брови,False
Ear,Ear,Ухо,False
Eye,Eye,Глаз,False
Base Hair,Base Hair,Базовые волосы,False
Hair Bang >>,Hair Bang >>,Челка >>,False
Hair Bang ><,Hair Bang ><,Челка для волос ><,False
Hair Bang <<,Hair Bang <<,Челка для волос <<,False
Hair Shine,Hair Shine,Сияние волос,False
Hair Branch >>,Hair Branch >>,Прядь волос >>,False
Hair Branch <<,Hair Branch <<,Прядь волос <<,False
Hair Framing >>,Hair Framing >>,Локоны волос >>,False
Hair Framing <<,Hair Framing <<,Локоны волос <<,False
Hair Framing,Hair Framing,Локоны волос,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Торчащий волос 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Торчащий волос 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Торчащий волос 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Торчащий волос 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Торчащий волос 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Торчащий волос 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Торчащий волос 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Торчащий волос 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Торчаний волос 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Торчаний волос  1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Торчаний волос  2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Торчаний волос 3 <<,False
Hair Side,Hair Side,Боковые волосы,False
Hair Ahoge,Hair Ahoge,Ахоге волос,False
Hair Rear,Hair Rear,Задние волосы,False
Hair Pigtail >>,Hair Pigtail >>,Хвостики >>,False
Hair Pigtail <<,Hair Pigtail <<,Хвостики <<,False
Animal Ear,Animal Ear,Звериные уши,False
Antenna,Antenna,Антенна,False
Fin,Fin,Плавники,False
Gill,Gill,Жабры аксолотля,False
Glasses,Glasses,Очки,False
Hairband A,Hairband A,Банты А,False
Hairband B,Hairband B,Повязки на голову Б,False
Hairband C,Hairband C,Ободок С,False
Hairband D,Hairband D,Бант сзади D,False
Hair Clip >>,Hair Clip >>,Заколка >>,False
Hair Clip <<,Hair Clip <<,Заколка <<,False
Halo,Halo,Нимб,False
Hat,Hat,Шляпа,False
Ear Wing,Ear Wing,Крыло-ухо,False
Horn,Horn,Рог,False
Horn Front ><,Horn Front ><,Рога спереди ><,False
Horn Front,Horn Front,Рога спереди,False
Mecha,Mecha,Меха,False
Outfit Collar Inner,Outfit Collar Inner,Воротник одежды,False
Outfit Inner,Outfit Inner,Плечевая одежда,False
Outfit Outer,Outfit Outer,Верхняя одежда,False
Outfit Neckwear A,Outfit Neckwear A,Галстук А,False
Outfit Neckwear B,Outfit Neckwear B,Галстук Б,False
Outfit Neckwear C,Outfit Neckwear C,Галстук C,False
Hair Side Branch >> A,Hair Side Branch >> A,Боковая прядь волос >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Боковая прядь волос >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Боковая прядь волос >> C,False
Hair Side Branch << A,Hair Side Branch << A,Боковая прядь волос << A,False
Hair Side Branch << B,Hair Side Branch << B,Боковая прядь волос << B,False
Hair Side Branch << C,Hair Side Branch << C,Боковая прядь волос << C,False
Tail,Tail,Хвост,False
Wing,Wing,Крыло,False
Facial Hair A,Facial Hair A,Волосы на лице А,False
Facial Hair B,Facial Hair B,Волосы на лице Б,False
Cheek,Cheek,Щека,False
Face Feature A >>,Face Feature A >>,Черта лица А >>,False
Face Feature A <<,Face Feature A <<,Черта лица A <<,False
Face Feature B >>,Face Feature B >>,Черта лица B >>,False
Face Feature B <<,Face Feature B <<,Характеристика лица B <<,False
Face Feature C,Face Feature C,Характеристика лица C,False
Nose,Nose,Нос,False
Earring >>,Earring >>,Серьги >>,False
Earring <<,Earring <<,Серьга <<,False
Piercing A >>,Piercing A >>,Пирсинг А >>,False
Piercing A <<,Piercing A <<,Пирсинг А <<,False
Piercing B >>,Piercing B >>,Пирсинг Б >>,False
Piercing B <<,Piercing B <<,Пирсинг Б <<,False
Hand,Hand,Рука,False
Leg,Leg,Нога,False
Cape Back,Cape Back,Мыс Назад,False
Cape Front,Cape Front,Мыс Фронт,False
Hair Ponytail,Hair Ponytail,Волосы,False
Eyepatch,Eyepatch,Повязка на глазу,False
