Key,en,ru,reviewed
Eyelash Length,Eyelash Length,Ресницы - Длина,False
Brows Distance,Brows Distance,Брови - Расстояние,False
Brows Height,Brows Height,Брови - Высота,False
Ear Shape 1,Ear Shape 1,Форма ушей 1,False
Ear Shape 2,Ear Shape 2,Форма ушей 2,False
Hair Bang >< Length,Hair Bang >< Length,Челка >< Длина,False
Hair Bang >< Shear,Hair Bang >< Shear,Челка >< Наклон,False
Hair Bang >> Position,Hair Bang >> Position,Челка >> Позиция,False
Hair Bang >> Length,Hair Bang >> Length,Челка >> Длина,False
Hair Bang >> Shear,Hair Bang >> Shear,Челка >> Наклон,False
Hair Bang << Position,Hair Bang << Position,Челка << Позиция,False
Hair Bang << Length,Hair Bang << Length,Челка << Длина,False
Hair Bang << Shear,Hair Bang << Shear,Челка << Наклон,False
Hair Framing << Length,Hair Framing << Length,Пряди волос << Длина,False
Hair Framing >> Length,Hair Framing >> Length,Пряди волос >> Длина,False
Hair Side Length,Hair Side Length,Боковые волосы - Длина,False
Hair Rear Length,Hair Rear Length,Задние волосы - Длина,False
Ahoge Position,Ahoge Position,Ахоге - Положение,False
Ahoge Angle,Ahoge Angle,Ахоге - Угол,False
Animal Ear & Antenna Position,Animal Ear & Antenna Position,Звериные уши & Антенна - Положение,False
Fin & Gill Position,Fin & Gill Position,Плавники & Жабры - Положение,False
Halo Position,Halo Position,Нимб - Положение,False
Hat Position,Hat Position,Шляпа - Положение,False
Horn >> Length,Horn >> Length,Рог >> Длина,False
Horn << Length,Horn << Length,Рог << Длина,False
Horn >< Length,Horn >< Length,Рог >< Длина,False
Horn Position,Horn Position,Рог - Положение,False
Ear Wing Position,Ear Wing Position,Крыло-ухо - Положение,False
Wing Size,Wing Size,Крылья - Размер,False
Wing Position,Wing Position,Крылья - Положение,False
Wing Angle,Wing Angle,Крылья - Угол,False
Tail Size,Tail Size,Хвост - Размер,False
Tail Flip,Tail Flip,Хвост - Отразить,False
Tail Angle,Tail Angle,Хвост - Угол,False
Hair Pigtail >> Position,Hair Pigtail >> Position,Косичка >> Позиция,False
Hair Pigtail >> Length,Hair Pigtail >> Length,Косичка >> Длина,False
Hair Pigtail >> Angle,Hair Pigtail >> Angle,Косичка >> Угол,False
Hair Pigtail << Position,Hair Pigtail << Position,Косичка для волос << Позиция,False
Hair Pigtail << Length,Hair Pigtail << Length,Косичка для волос << Длина,False
Hair Pigtail << Angle,Hair Pigtail << Angle,Косичка для волос << Угол,False
Hair Ponytail Width,Hair Ponytail Width,Ширина хвоста волос,False
Hair Ponytail Length,Hair Ponytail Length,Длина хвоста волос,False
Hair Ponytail Angle,Hair Ponytail Angle,Угол хвоста волос,False
Alert Size,Alert Size,Размер оповещения,False
