Key,en,ru,reviewed
Hair Ahoge,Hair Ahoge,Волосы Ахоге,False
Hair Ahoge Outline,Hair Ahoge Outline,Волосы Ахоге Контур,False
Animal Ear >>,Animal Ear >>,Звериные уши >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Звериные уши (Мех) >>,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Звериные уши (Мех) >> Контур,False
Animal Ear >> Outline,Animal Ear >> Outline,Звериные уши >> Контур,False
Animal Ear <<,Animal Ear <<,Звериные уши <<,False
Animal Ear << Fur,Animal Ear << Fur,Звериные уши (Мех) <<,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Звериные уши (Мех) << Контур,False
Animal Ear << Outline,Animal Ear << Outline,Звериные уши << Контур,False
Antenna >>,Antenna >>,Антенна >>,False
Antenna >> Outline,Antenna >> Outline,Антенна >> Контур,False
Antenna <<,Antenna <<,Антенна <<,False
Antenna << Outline,Antenna << Outline,Антенна << Контур,False
Hair Rear,Hair Rear,Задние волосы,False
Hair Rear Outline,Hair Rear Outline,Задние волосы - Контур,False
Beverage Cup,Beverage Cup,Стаканчик,False
Beverage Liquid,Beverage Liquid,Жидкость в стаканчике,False
Beverage Liquid 2,Beverage Liquid 2,Жидкость в стаканчике 2,False
Bill,Bill,Деньги,False
Blanket Inner,Blanket Inner,Одеяло ,False
Blanket Outter,Blanket Outter,Плед поверх одеяла,False
Face Blush,Face Blush,Румянец,False
Brow >>,Brow >>,Бровь >>,False
Brow <<,Brow <<,Бровь <<,False
Chopstick,Chopstick,Палочки для еды,False
Crowbar,Crowbar,Лом,False
Cup,Cup,Чашка,False
Cup Steam,Cup Steam,Пар из чашки,False
Door/Wall,Door/Wall,Дверь/Стена,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Глаз(Глупик) Зрачок >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Глаз (Глупик) Зрачок <<,False
Eyebag,Eyebag,Мешки под глазами,False
Eye Iris Dark >>,Eye Iris Dark >>,Глаза Радужка Темная >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Глаза Радужка Темная <<,False
Eye Dollar,Eye Dollar,Глаз Доллар,False
Eye Heart,Eye Heart,Глаз Сердце,False
