Key,en,sk,reviewed
Alert Bits,Alert Bits,Varovné bity,False
Alert Donation,Alert Donation,Varovný dar,False
Alert Heart,Alert Heart,Varovné srdce,False
Alert Like,Alert Like,Upozorniť Páči sa mi,False
Alert Star,Alert Star,Hviezda upozornenia,False
Angry,Angry,Nahnevaný,False
Arrive,Arrive,Príďte,False
Arrive (with Chopstick),Arrive (with Chopstick),Prísť (s palicou),False
Arrive (with Spoon),Arrive (with Spoon),Prísť (s lyžičkou),False
Bonk,Bonk,Bonk,False
Copium,Copium,Copium,False
Crowbar 1,Crowbar 1,Páčidlo 1,False
Crowbar 2,Crowbar 2,Páčidlo 2,False
Crowbar 3,Crowbar 3,Páčidlo 3,False
Cry 1,Cry 1,Plač 1,False
Cry 2,Cry 2,Plač 2,False
Cry 3,Cry 3,Plač 3,False
Dead,Dead,Mŕtvy,False
Dizzy,Dizzy,Závrate,False
Drink (Beverage Cup),Drink (Beverage Cup),Nápoj (nápojový pohár),False
Drive,Drive,Drive,False
Drooling (Chopstick),Drooling (Chopstick),Slintanie (palička),False
Drooling (Fork&Knife),Drooling (Fork&Knife),Slintanie (vidlička a nôž),False
Dum 1,Dum 1,Dum 1,False
Dum 2,Dum 2,Dum 2,False
Dum 3,Dum 3,Dum 3,False
Dum Sticker 1,Dum Sticker 1,Nálepka 1,False
Dum Sticker 2,Dum Sticker 2,Nálepka Dum 2,False
Dum Sticker 3,Dum Sticker 3,Nálepka Dum 3,False
Exclamation,Exclamation,Výkričník,False
Jail 1,Jail 1,Väzenie 1,False
Jail 2,Jail 2,Väzenie 2,False
Knife 1,Knife 1,Nôž 1,False
Knife 2,Knife 2,Nôž 2,False
Laugh,Laugh,Smejte sa,False
Lick,Lick,Lízať,False
Lightstick 1,Lightstick 1,Svietidlo 1,False
Lightstick 2,Lightstick 2,Svietidlo 2,False
Lurk 1,Lurk 1,Číhať 1,False
Lurk 2,Lurk 2,Číhať 2,False
Luv 1,Luv 1,Luv 1,False
Luv 2,Luv 2,Luv 2,False
Luv 3,Luv 3,Luv 3,False
Money,Money,Peniaze,False
Mute 1,Mute 1,Stlmiť 1,False
Mute 2,Mute 2,Stlmiť 2,False
Nervous 1,Nervous 1,Nervózny 1,False
Nervous 2,Nervous 2,Nervózny 2,False
Noted 1,Noted 1,Zaznamenané 1,False
Noted 2,Noted 2,Zaznamenané 2,False
Pat,Pat,Pat,False
Point,Point,Bod,False
Question,Question,Otázka,False
Raid 1,Raid 1,Nájazd 1,False
Raid 2,Raid 2,Nájazd 2,False
RedPacket 1,RedPacket 1,RedPacket 1,False
RedPacket 2,RedPacket 2,RedPacket 2,False
Rose,Rose,Rose,False
Score (0 Point),Score (0 Point),Skóre (0 bodov),False
Score (10 Point),Score (10 Point),Skóre (10 bodov),False
Shy 1,Shy 1,Hanblivý 1,False
Shy 2,Shy 2,Hanblivý 2,False
Sleep (Normal),Sleep (Normal),Spánok (normálny),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Spánok (1. fáza prípravy),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Spánok (2. fáza prípravy),False
Sleep (UU),Sleep (UU),Spánok (UU),False
Surprise,Surprise,Prekvapenie,False
Sweat,Sweat,Vypotiť sa,False
Thumb Down,Thumb Down,Palec dole,False
Thumb Up,Thumb Up,Palec hore,False
Type Angry,Type Angry,Napíšte Angry,False
Type Annoyed,Type Annoyed,Napíšte Nahnevaný,False
Type Normal,Type Normal,Typ Normal,False
Work Angry,Work Angry,Pracuj nahnevaný,False
Work Nap,Work Nap,Pracovný spánok,False
Work Normal,Work Normal,Pracujte normálne,False
Work Tired,Work Tired,Pracovať unavený,False
Bell,Bell,Bell,False
Cake,Cake,Koláč,False
Caught in 4K (Phone),Caught in 4K (Phone),Zachytené v rozlíšení 4K (telefón),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Zachytené v rozlíšení 4K (videokamera),False
Celebration,Celebration,Oslava,False
Head Nod,Head Nod,Prikývnutie hlavy,False
Head Shake,Head Shake,Potriasť hlavou,False
Hypnosis,Hypnosis,Hypnóza,False
Laugh (Point),Laugh (Point),smiech (bod),False
Love Letter,Love Letter,Milostný list,False
Need Food,Need Food,Potrebujete jedlo,False
PNGTuber Idle,PNGTuber Idle,PNGTuber nečinný,False
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Idle 2,False
PNGTuber Loading,PNGTuber Loading,Načítava sa PNGTuber,False
PNGTuber Talk,PNGTuber Talk,PNGTuber Talk,False
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Talk 2,False
PNGTuber Yap,PNGTuber Yap,PNGTuber Yap,False
Popcat Frame,Popcat Frame,Popcat Frame,False
Popcat Smooth,Popcat Smooth,Popcat Smooth,False
Sing,Sing,Spievajte,False
Tablet,Tablet,Tablet,False
Tail Wag,Tail Wag,Chvost Wag,False
Bug,Bug,Bug,False
Cheer,Cheer,Na zdravie,False
Easter,Easter,Veľká noc,False
Gun,Gun,Pištoľ,False
Idea,Idea,Idea,False
Megaphone,Megaphone,Megafón,False
Paid Break (Easy Mode),Paid Break (Easy Mode),Platená prestávka (jednoduchý režim),False
Paid Break (Hard Mode),Paid Break (Hard Mode),Platená prestávka (tvrdý režim),False
Spray,Spray,Striekajte,False
Stops Working,Stops Working,Prestane pracovať,False
Sunglasses Gleam,Sunglasses Gleam,Slnečné okuliare Gleam,False
Sunglasses Pixel Gleam,Sunglasses Pixel Gleam,Slnečné okuliare Pixel Gleam,False
Sunglasses Remove,Sunglasses Remove,Odstráňte slnečné okuliare,False
Swatter,Swatter,Splácačka,False
Tape,Tape,páska,False
Trash Bin,Trash Bin,Odpadkový kôš,False
TrashTuber Idle,TrashTuber Idle,TrashTuber Idle,False
