Key,en,sk,reviewed
Brows,Brows,Obočie,False
Ear,Ear,Ucho,False
Eye,Eye,Oko,False
Base Hair,Base Hair,Základné vlasy,False
Hair Bang >>,Hair Bang >>,Vlasy Bang >>,False
Hair Bang ><,Hair Bang ><,Vlasy Bang <,False
Hair Bang <<,Hair Bang <<,Hair Bang <<,False
Hair Shine,Hair Shine,Lesk vlasov,False
Hair Branch >>,Hair Branch >>,Vlasová vetva >>,False
Hair Branch <<,Hair Branch <<,Vlasová vetva <<,False
Hair Framing >>,Hair Framing >>,Rámovanie vlasov >>,False
Hair Framing <<,Hair Framing <<,Rámovanie vlasov <<,False
Hair Framing,Hair Framing,Rámovanie vlasov,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Zvýraznenie vlasov 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Zvýraznenie vlasov 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Zvýraznenie vlasov 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Zvýraznenie vlasov 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Zvýraznenie vlasov 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Zvýraznenie vlasov 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Zvýraznenie vlasov 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Zvýraznenie vlasov 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Zvýraznenie vlasov 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Zvýraznenie vlasov 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Zvýraznenie vlasov 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Zvýraznenie vlasov 3 <<,False
Hair Side,Hair Side,Vlasová strana,False
Hair Ahoge,Hair Ahoge,Vlasy Ahoge,False
Hair Rear,Hair Rear,Vlasy vzadu,False
Hair Pigtail >>,Hair Pigtail >>,Vlasový vrkoč >>,False
Hair Pigtail <<,Hair Pigtail <<,Vlasový vrkoč <<,False
Animal Ear,Animal Ear,Zvieracie ucho,False
Antenna,Antenna,Anténa,False
Fin,Fin,Fin,False
Gill,Gill,Gill,False
Glasses,Glasses,Okuliare,False
Hairband A,Hairband A,Čelenka do vlasov A,False
Hairband B,Hairband B,Čelenka do vlasov B,False
Hairband C,Hairband C,Čelenka do vlasov C,False
Hairband D,Hairband D,Čelenka do vlasov D,False
Hair Clip >>,Hair Clip >>,Spona do vlasov >>,False
Hair Clip <<,Hair Clip <<,Sponka do vlasov <<,False
Halo,Halo,Halo,False
Hat,Hat,Klobúk,False
Ear Wing,Ear Wing,Ušné krídlo,False
Horn,Horn,Horn,False
Horn Front ><,Horn Front ><,Predný roh ><,False
Horn Front,Horn Front,Predný roh,False
Mecha,Mecha,Mecha,False
Outfit Collar Inner,Outfit Collar Inner,Vnútorný golier oblečenia,False
Outfit Inner,Outfit Inner,Vnútorný outfit,False
Outfit Outer,Outfit Outer,Outfit Outer,False
Outfit Neckwear A,Outfit Neckwear A,Oblečenie na krk A,False
Outfit Neckwear B,Outfit Neckwear B,Oblečenie na krk B,False
Outfit Neckwear C,Outfit Neckwear C,Oblečenie na krk C,False
Hair Side Branch >> A,Hair Side Branch >> A,Bočná vetva vlasov >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Bočná vetva vlasov >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Bočná vetva vlasov >> C,False
Hair Side Branch << A,Hair Side Branch << A,Bočná vetva vlasov << A,False
Hair Side Branch << B,Hair Side Branch << B,Bočná vetva vlasov << B,False
Hair Side Branch << C,Hair Side Branch << C,Bočná vetva vlasov << C,False
Tail,Tail,Chvost,False
Wing,Wing,Krídlo,False
Facial Hair A,Facial Hair A,Vlasy na tvári A,False
Facial Hair B,Facial Hair B,Vlasy na tvári B,False
Cheek,Cheek,Líca,False
Face Feature A >>,Face Feature A >>,Funkcia tváre A >>,False
Face Feature A <<,Face Feature A <<,Funkcia tváre A <<,False
Face Feature B >>,Face Feature B >>,Funkcia tváre B >>,False
Face Feature B <<,Face Feature B <<,Funkcia tváre B <<,False
Face Feature C,Face Feature C,Funkcia tváre C,False
Nose,Nose,Nos,False
Earring >>,Earring >>,Náušnica >>,False
Earring <<,Earring <<,Náušnica <<,False
Piercing A >>,Piercing A >>,Piercing A >>,False
Piercing A <<,Piercing A <<,Piercing A <<,False
Piercing B >>,Piercing B >>,Piercing B >>,False
Piercing B <<,Piercing B <<,Piercing B <<,False
Hand,Hand,Ruka,False
Leg,Leg,Leg,False
Cape Back,Cape Back,Cape Back,False
Cape Front,Cape Front,Cape Front,False
Hair Ponytail,Hair Ponytail,Vlasový chvost,False
Eyepatch,Eyepatch,Páska na oči,False
