Key,en,sk,reviewed
Hair Ahoge,Hair Ahoge,Vlasy Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Obrys vlasov Ahoge,False
Animal Ear >>,Animal Ear >>,Zvieracie ucho >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Zvieracie ucho >> Kožušina,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Ucho zvieraťa >> Obrys kožušiny,False
Animal Ear >> Outline,Animal Ear >> Outline,Ucho zvieraťa >> Obrys,False
Animal Ear <<,Animal Ear <<,Zvieracie ucho <<,False
Animal Ear << Fur,Animal Ear << Fur,Zvieracie ucho << Kožušina,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Animal Ear << Fur Outline,False
Animal Ear << Outline,Animal Ear << Outline,Zvieracie ucho << Obrys,False
Antenna >>,Antenna >>,Anténa >>,False
Antenna >> Outline,Antenna >> Outline,Anténa >> Obrys,False
Antenna <<,Antenna <<,Anténa <<,False
Antenna << Outline,Antenna << Outline,Anténa << Obrys,False
Hair Rear,Hair Rear,Vlasy vzadu,False
Hair Rear Outline,Hair Rear Outline,Zadný obrys vlasov,False
Beverage Cup,Beverage Cup,Nápojový pohár,False
Beverage Liquid,Beverage Liquid,Tekutý nápoj,False
Beverage Liquid 2,Beverage Liquid 2,Tekutý nápoj 2,False
Bill,Bill,Bill,False
Blanket Inner,Blanket Inner,Vnútorná prikrývka,False
Blanket Outter,Blanket Outter,Vonkajšia prikrývka,False
Face Blush,Face Blush,Face Blush,False
Brow >>,Brow >>,Obočie >>,False
Brow <<,Brow <<,Obočie <<,False
Chopstick,Chopstick,Palička,False
Crowbar,Crowbar,Páčidlo,False
Cup,Cup,pohár,False
Cup Steam,Cup Steam,Pohár Steam,False
Door/Wall,Door/Wall,Dvere/stena,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Oko(Dum) Zrenica >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Oko(Dum) Žiak <<,False
Eyebag,Eyebag,Vak na oči,False
Eye Iris Dark >>,Eye Iris Dark >>,Očná dúhovka tmavá >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Očná dúhovka tmavá <<,False
Eye Dollar,Eye Dollar,Očný dolár,False
Eye Heart,Eye Heart,Oko Srdce,False
Eye Highlight,Eye Highlight,Zvýraznenie očí,False
Eyelashes,Eyelashes,Mihalnice,False
Eye Iris Light >>,Eye Iris Light >>,Svetlo očnej dúhovky >>,False
Eye Iris Light <<,Eye Iris Light <<,Svetlo očnej dúhovky <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Obrys oka (Dum).,False
Eye Sparkling,Eye Sparkling,Šumivé oči,False
Eye Spiral,Eye Spiral,Očná špirála,False
Eye White,Eye White,Eye White,False
Face Shadow,Face Shadow,Tieň tváre,False
Fin >>,Fin >>,Fin >>,False
Fin >> Outline,Fin >> Outline,Fin >> Obrys,False
Fin <<,Fin <<,Fin <<,False
Fin << Outline,Fin << Outline,Fin << Obrys,False
Hair Framing >>,Hair Framing >>,Rámovanie vlasov >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Rámovanie vlasov >> Obrys,False
Hair Framing <<,Hair Framing <<,Rámovanie vlasov <<,False
Hair Framing << Outline,Hair Framing << Outline,Rámovanie vlasov << Obrys,False
Gill,Gill,Gill,False
Gill Outline,Gill Outline,Obrys Gill,False
Glasses,Glasses,Okuliare,False
Hairband A,Hairband A,Čelenka do vlasov A,False
Hairband A Outline,Hairband A Outline,Čelenka A Obrys,False
Hairband B,Hairband B,Čelenka do vlasov B,False
Hairband B Outline,Hairband B Outline,Čelenka do vlasov B Obrys,False
Hairband C,Hairband C,Čelenka do vlasov C,False
Hairband C Outline,Hairband C Outline,Čelenka do vlasov C obrys,False
Hairband D,Hairband D,Čelenka do vlasov D,False
Hairband D Outline,Hairband D Outline,Čelenka do vlasov D Outline,False
Hair Bang >>,Hair Bang >>,Vlasy Bang >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Hair Bang >> Obrys,False
Hair Bang ><,Hair Bang ><,Vlasy Bang <,False
Hair Bang >< Outline,Hair Bang >< Outline,Hair Bang >< Obrys,False
Hair Bang <<,Hair Bang <<,Hair Bang <<,False
Hair Bang << Outline,Hair Bang << Outline,Hair Bang << Obrys,False
Hair Clip >>,Hair Clip >>,Spona do vlasov >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Spona do vlasov >> Obrys,False
Hair Clip <<,Hair Clip <<,Sponka do vlasov <<,False
Hair Clip << Outline,Hair Clip << Outline,Sponka do vlasov << Obrys,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Zvýraznenie vlasov 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Zvýraznenie vlasov 1 >> Obrys,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Zvýraznenie vlasov 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Zvýraznenie vlasov 2 >> Obrys,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Zvýraznenie vlasov 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Zvýraznenie vlasov 3 >> Obrys,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Zvýraznenie vlasov 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Zvýraznenie vlasov 1 >< Obrys,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Zvýraznenie vlasov 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Zvýraznenie vlasov 2 >< Obrys,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Zvýraznenie vlasov 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Zvýraznenie vlasov 3 >< Obrys,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Zvýraznenie vlasov 4 ><,False
