Key,en,sk,reviewed
MainMenu.TabHeaderLable.Editor,Editor,redaktor,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",Naozaj chcete odstrániť znak „{0}“? Túto akciu nie je možné vrátiť späť.,False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",Znak „{0}“ už existuje. Naozaj chcete prepísať znak „{0}“? Túto akciu nie je možné vrátiť späť.,False
MainMenu.Confirm,Confirm,Potvrďte,False
MainMenu.Cancel,Cancel,Zrušiť,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Zadajte názov postavy:,False
MainMenu.Editor.Model,Models,Modelky,False
MainMenu.Editor.Character,Character,Charakter,False
MainMenu.Editor.Animation,Animation,Animácia,False
MainMenu.Editor.PartsSelection,Choose Parts,Vyberte Časti,False
MainMenu.Editor.PartsAdjustment,Adjustment,Úprava,False
MainMenu.Search,Search...,Hľadať...,False
MainMenu.Editor.SaveCharacter,Save Character,Uložiť znak,False
MainMenu.Editor.Unload,Clear Character,Jasný charakter,False
MainMenu.Editor.DeleteCharacter,Delete Character,Odstrániť znak,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Použite vlastné textúry,False
MainMenu.Editor.ReloadTextures,Reload Textures,Znovu načítať textúry,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Otvorte priečinok Vlastná textúra,False
MainMenu.Editor.Color,Color,Farba,False
MainMenu.Editor.TintColor,TintColor,TintColor,False
MainMenu.Editor.TintBlackColor,TintBlackColor,TintBlackColor,False
MainMenu.Editor.LICENSE,LICENSE,LICENCIA,False
MainMenu.Editor.AssetTypeAA,Built-in,Vstavaný,False
MainMenu.Editor.AssetTypeSA,Third-Party,Tretia strana,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,Názov nemôže byť prázdny.,False
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,Názov nemôže presiahnuť {0} znakov.,False
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",Názov nemôže obsahovať znak „{0}“.,False
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",„{0}“ je vyhradený názov a nemožno ho použiť.,False
