Key,en,sv,reviewed
Alert Bits,Alert Bits,Varningsbitar,False
Alert Donation,Alert Donation,Varningsdonation,False
Alert Heart,Alert Heart,Alert Heart,False
Alert Like,Alert Like,Alert Gilla,False
Alert Star,Alert Star,Alert Star,False
Angry,Angry,Arg,False
Arrive,Arrive,Anlända,False
Arrive (with Chopstick),Arrive (with Chopstick),Anländer (med ätpinne),False
Arrive (with Spoon),Arrive (with Spoon),Anländer (med sked),False
Bonk,Bonk,Bonk,False
Copium,Copium,Copium,False
Crowbar 1,Crowbar 1,Kofot 1,False
Crowbar 2,Crowbar 2,Kofot 2,False
Crowbar 3,Crowbar 3,Kofot 3,False
Cry 1,Cry 1,Gråt 1,False
Cry 2,Cry 2,Gråt 2,False
Cry 3,Cry 3,Gråt 3,False
Dead,Dead,Död,False
Dizzy,Dizzy,Yr,False
Drink (Beverage Cup),Drink (Beverage Cup),Dryck (Beverage Cup),False
Drive,Drive,Köra,False
Drooling (Chopstick),Drooling (Chopstick),Dregling (ätpinne),False
Drooling (Fork&Knife),Drooling (Fork&Knife),Dregling (gaffel och kniv),False
Dum 1,Dum 1,Dum 1,False
Dum 2,Dum 2,Dum 2,False
Dum 3,Dum 3,Dum 3,False
Dum Sticker 1,Dum Sticker 1,Dum Sticker 1,False
Dum Sticker 2,Dum Sticker 2,Dum Sticker 2,False
Dum Sticker 3,Dum Sticker 3,Dum Sticker 3,False
Exclamation,Exclamation,Utrop,False
Jail 1,Jail 1,Fängelse 1,False
Jail 2,Jail 2,Fängelse 2,False
Knife 1,Knife 1,Kniv 1,False
Knife 2,Knife 2,Kniv 2,False
Laugh,Laugh,Skratta,False
Lick,Lick,Slicka,False
Lightstick 1,Lightstick 1,Ljussticka 1,False
Lightstick 2,Lightstick 2,Ljussticka 2,False
Lurk 1,Lurk 1,Lura 1,False
Lurk 2,Lurk 2,Lurk 2,False
Luv 1,Luv 1,Luv 1,False
Luv 2,Luv 2,Luv 2,False
Luv 3,Luv 3,Luv 3,False
Money,Money,Pengar,False
Mute 1,Mute 1,Ljud av 1,False
Mute 2,Mute 2,Tyst 2,False
Nervous 1,Nervous 1,Nervös 1,False
Nervous 2,Nervous 2,Nervös 2,False
Noted 1,Noted 1,Noterade 1,False
Noted 2,Noted 2,Noterade 2,False
Pat,Pat,Klappa,False
Point,Point,Punkt,False
Question,Question,Fråga,False
Raid 1,Raid 1,Raid 1,False
Raid 2,Raid 2,Raid 2,False
RedPacket 1,RedPacket 1,RedPacket 1,False
RedPacket 2,RedPacket 2,RedPacket 2,False
Rose,Rose,Ros,False
Score (0 Point),Score (0 Point),Poäng (0 poäng),False
Score (10 Point),Score (10 Point),Poäng (10 poäng),False
Shy 1,Shy 1,Blyg 1,False
Shy 2,Shy 2,Blyg 2,False
Sleep (Normal),Sleep (Normal),Sömn (normal),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Sömn (förbereder steg 1),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Sömn (förbereder steg 2),False
Sleep (UU),Sleep (UU),Sömn (UU),False
Surprise,Surprise,Överraskning,False
Sweat,Sweat,Svettas,False
Thumb Down,Thumb Down,Tummen ner,False
Thumb Up,Thumb Up,Tummen Upp,False
Type Angry,Type Angry,Typ Arg,False
Type Annoyed,Type Annoyed,Typ irriterad,False
Type Normal,Type Normal,Skriv Normal,False
Work Angry,Work Angry,Arbeta Arg,False
Work Nap,Work Nap,Arbetstupplur,False
Work Normal,Work Normal,Arbeta normalt,False
Work Tired,Work Tired,Arbete Trött,False
Bell,Bell,Klocka,False
Cake,Cake,Tårta,False
Caught in 4K (Phone),Caught in 4K (Phone),Fångad i 4K (telefon),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Fångad i 4K (videokamera),False
Celebration,Celebration,Firande,False
Head Nod,Head Nod,Huvudnicka,False
Head Shake,Head Shake,Skaka huvud,False
Hypnosis,Hypnosis,Hypnos,False
Laugh (Point),Laugh (Point),Skratta (peka),False
Love Letter,Love Letter,Kärleksbrev,False
Need Food,Need Food,Behöver mat,False
PNGTuber Idle,PNGTuber Idle,PNGtuber tomgång,False
PNGTuber Idle 2,PNGTuber Idle 2,PNGtuber Idle 2,False
PNGTuber Loading,PNGTuber Loading,PNGtuber laddar,False
PNGTuber Talk,PNGTuber Talk,PNGtuber Talk,False
PNGTuber Talk 2,PNGTuber Talk 2,PNGtuber Talk 2,False
PNGTuber Yap,PNGTuber Yap,PNGtuber Yap,False
Popcat Frame,Popcat Frame,Popcat ram,False
Popcat Smooth,Popcat Smooth,Popcat Smidig,False
Sing,Sing,Sjunga,False
Tablet,Tablet,Tablett,False
Tail Wag,Tail Wag,Svansvifta,False
Bug,Bug,Bugga,False
Cheer,Cheer,Hurra,False
Easter,Easter,påsk,False
Gun,Gun,Pistol,False
Idea,Idea,Aning,False
Megaphone,Megaphone,Megafon,False
Paid Break (Easy Mode),Paid Break (Easy Mode),Betald paus (enkelt läge),False
Paid Break (Hard Mode),Paid Break (Hard Mode),Betald paus (hårt läge),False
Spray,Spray,Spray,False
Stops Working,Stops Working,Slutar fungera,False
Sunglasses Gleam,Sunglasses Gleam,Solglasögon Gleam,False
Sunglasses Pixel Gleam,Sunglasses Pixel Gleam,Solglasögon Pixel Gleam,False
Sunglasses Remove,Sunglasses Remove,Ta bort solglasögon,False
Swatter,Swatter,Swatter,False
Tape,Tape,Tejpa,False
Trash Bin,Trash Bin,Papperskorgen,False
TrashTuber Idle,TrashTuber Idle,TrashTuber tomgång,False
TrashTuber Talk,TrashTuber Talk,TrashTuber Talk,False
TrashTuber Yap,TrashTuber Yap,TrashTuber Yap,False
Cheers,Cheers,Skål,False
Dance 1,Dance 1,Dans 1,False
Dance (Caramelldansen),Dance (Caramelldansen),Dans (Caramelldansen),False
Dance (Helltaker),Dance (Helltaker),Dans (Helltaker),False
Dance (Low Cortisol),Dance (Low Cortisol),Dans (lågt kortisol),False
Eat (Donut),Eat (Donut),Ät (munk),False
Eat (Popcorn),Eat (Popcorn),Ät (popcorn),False
Eat (Watermelon),Eat (Watermelon),Ät (vattenmelon),False
Game,Game,Spel,False
Greeting 1,Greeting 1,Hälsning 1,False
Greeting 2,Greeting 2,Hälsning 2,False
Sparkling 1,Sparkling 1,Glittrande 1,False
Sparkling 2,Sparkling 2,Glittrande 2,False
Think (Confident),Think (Confident),Tänk (säkert),False
Think (Serious),Think (Serious),Tänk (allvarligt),False
Alert Custom,Alert Custom,Alert Custom,False
Button,Button,Knapp,False
Card Swipe,Card Swipe,Kortsvep,False
Coke Shake,Coke Shake,Cola Shake,False
Dance (Scuba),Dance (Scuba),Dans (Scuba),False
Gift 1,Gift 1,Gåva 1,False
Gift 2,Gift 2,Gåva 2,False
Magic,Magic,Magi,False
Reverse,Reverse,Motsatt,False
Scared 1,Scared 1,Rädd 1,False
Scared 2,Scared 2,Rädd 2,False
Six Seven,Six Seven,Sex sju,False
Six Seven (Dum),Six Seven (Dum),Six Seven (Dum),False
Take My Money,Take My Money,Ta mina pengar,False
