Key,en,sv,reviewed
Brows,Brows,Bryn,False
Ear,Ear,Öra,False
Eye,Eye,Öga,False
Base Hair,Base Hair,Bashår,False
Hair Bang >>,Hair Bang >>,Hair Bang >>,False
Hair Bang ><,Hair Bang ><,Hair Bang ><,False
Hair Bang <<,Hair Bang <<,Hair Bang <<,False
Hair Shine,Hair Shine,Hårglans,False
Hair Branch >>,Hair Branch >>,Hårgren >>,False
Hair Branch <<,Hair Branch <<,Hårgren <<,False
Hair Framing >>,Hair Framing >>,Hårinramning >>,False
Hair Framing <<,Hair Framing <<,Hårinramning <<,False
Hair Framing,Hair Framing,Hår inramning,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Hårhöjdpunkt 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Hårhöjdpunkt 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Hårhöjdpunkt 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Hårhöjdpunkt 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Hair Highlight 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Hair Highlight 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Hair Highlight 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Hårhöjdpunkt 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Hair Highlight 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Hårhöjdpunkt 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Hair Highlight 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Hair Highlight 3 <<,False
Hair Side,Hair Side,Hårsida,False
Hair Ahoge,Hair Ahoge,Hår Ahoge,False
Hair Rear,Hair Rear,Hår bak,False
Hair Pigtail >>,Hair Pigtail >>,Hår Pigtail >>,False
Hair Pigtail <<,Hair Pigtail <<,Hår Pigtail <<,False
Animal Ear,Animal Ear,Djurens öra,False
Antenna,Antenna,Antenn,False
Fin,Fin,Fena,False
Gill,Gill,Gill,False
Glasses,Glasses,Glasögon,False
Hairband A,Hairband A,Hårband A,False
Hairband B,Hairband B,Hårband B,False
Hairband C,Hairband C,Hårband C,False
Hairband D,Hairband D,Hårband D,False
Hair Clip >>,Hair Clip >>,Hårklämma >>,False
Hair Clip <<,Hair Clip <<,Hårklämma <<,False
Halo,Halo,Halo,False
Hat,Hat,Hatt,False
Ear Wing,Ear Wing,Öronvinge,False
Horn,Horn,Horn,False
Horn Front ><,Horn Front ><,Horn Front ><,False
Horn Front,Horn Front,Horn Front,False
Mecha,Mecha,Mecha,False
Outfit Collar Inner,Outfit Collar Inner,Outfit Krage Inner,False
Outfit Inner,Outfit Inner,Outfit Inner,False
Outfit Outer,Outfit Outer,Outfit yttre,False
Outfit Neckwear A,Outfit Neckwear A,Outfit Neckwear A,False
Outfit Neckwear B,Outfit Neckwear B,Outfit Neckwear B,False
Outfit Neckwear C,Outfit Neckwear C,Outfit Neckwear C,False
Hair Side Branch >> A,Hair Side Branch >> A,Hårsidogren >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Hårsidogren >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Hårsidogren >> C,False
Hair Side Branch << A,Hair Side Branch << A,Hårsidogren << A,False
Hair Side Branch << B,Hair Side Branch << B,Hårsidogren << B,False
Hair Side Branch << C,Hair Side Branch << C,Hårsidogren << C,False
Tail,Tail,Svans,False
Wing,Wing,Vinge,False
Facial Hair A,Facial Hair A,Ansiktshår A,False
Facial Hair B,Facial Hair B,Ansiktshår B,False
Cheek,Cheek,Kind,False
Face Feature A >>,Face Feature A >>,Ansiktsfunktion A >>,False
Face Feature A <<,Face Feature A <<,Ansiktsfunktion A <<,False
Face Feature B >>,Face Feature B >>,Ansiktsfunktion B >>,False
Face Feature B <<,Face Feature B <<,Ansiktsfunktion B <<,False
Face Feature C,Face Feature C,Ansiktsfunktion C,False
Nose,Nose,Näsa,False
Earring >>,Earring >>,Örhänge >>,False
Earring <<,Earring <<,Örhänge <<,False
Piercing A >>,Piercing A >>,Piercing A >>,False
Piercing A <<,Piercing A <<,Piercing A <<,False
Piercing B >>,Piercing B >>,Piercing B >>,False
Piercing B <<,Piercing B <<,Piercing B <<,False
Hand,Hand,Hand,False
Leg,Leg,Ben,False
Cape Back,Cape Back,Cape Back,False
Cape Front,Cape Front,Cape Front,False
Hair Ponytail,Hair Ponytail,Hår hästsvans,False
Eyepatch,Eyepatch,Ögonlapp,False
