Key,en,sv,reviewed
Hair Ahoge,Hair Ahoge,Hår Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Hår Ahoge Outline,False
Animal Ear >>,Animal Ear >>,Djuröra >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Djuröra >> Päls,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,False
Animal Ear >> Outline,Animal Ear >> Outline,Djuröra >> Kontur,False
Animal Ear <<,Animal Ear <<,Animal Ear <<,False
Animal Ear << Fur,Animal Ear << Fur,Animal Ear << Päls,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Animal Ear << Fur Outline,False
Animal Ear << Outline,Animal Ear << Outline,Animal Ear << Outline,False
Antenna >>,Antenna >>,Antenn >>,False
Antenna >> Outline,Antenna >> Outline,Antenn >> Kontur,False
Antenna <<,Antenna <<,Antenn <<,False
Antenna << Outline,Antenna << Outline,Antenn << Kontur,False
Hair Rear,Hair Rear,Hår bak,False
Hair Rear Outline,Hair Rear Outline,Hår bakre kontur,False
Beverage Cup,Beverage Cup,Dryckeskopp,False
Beverage Liquid,Beverage Liquid,Dryck flytande,False
Beverage Liquid 2,Beverage Liquid 2,Dryckesvätska 2,False
Bill,Bill,Fakturera,False
Blanket Inner,Blanket Inner,Filt inre,False
Blanket Outter,Blanket Outter,Filt Outter,False
Face Blush,Face Blush,Ansiktsrodnad,False
Brow >>,Brow >>,Bryn >>,False
Brow <<,Brow <<,Bryn <<,False
Chopstick,Chopstick,Matpinne,False
Crowbar,Crowbar,Kofot,False
Cup,Cup,Kopp,False
Cup Steam,Cup Steam,Cup Steam,False
Door/Wall,Door/Wall,Dörr/Vägg,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Eye(Dum) Pupill >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Eye(Dum) Pupill <<,False
Eyebag,Eyebag,Ögonpåse,False
Eye Iris Dark >>,Eye Iris Dark >>,Eye Iris Dark >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Eye Iris Dark <<,False
Eye Dollar,Eye Dollar,Ögondollar,False
Eye Heart,Eye Heart,Ögat hjärta,False
Eye Highlight,Eye Highlight,Ögonhöjdpunkt,False
Eyelashes,Eyelashes,Ögonfransar,False
Eye Iris Light >>,Eye Iris Light >>,Eye Iris Light >>,False
Eye Iris Light <<,Eye Iris Light <<,Eye Iris Light <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Eye(Dum) Outline,False
Eye Sparkling,Eye Sparkling,Glittrande öga,False
Eye Spiral,Eye Spiral,Ögonspiral,False
Eye White,Eye White,Ögonvit,False
Face Shadow,Face Shadow,Ansiktsskugga,False
Fin >>,Fin >>,Fin >>,False
Fin >> Outline,Fin >> Outline,Fin >> Kontur,False
Fin <<,Fin <<,Fin <<,False
Fin << Outline,Fin << Outline,Fin << Kontur,False
Hair Framing >>,Hair Framing >>,Hårinramning >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Hårinramning >> Kontur,False
Hair Framing <<,Hair Framing <<,Hårinramning <<,False
Hair Framing << Outline,Hair Framing << Outline,Hårinramning << Kontur,False
Gill,Gill,Gill,False
Gill Outline,Gill Outline,Gill Outline,False
Glasses,Glasses,Glasögon,False
Hairband A,Hairband A,Hårband A,False
Hairband A Outline,Hairband A Outline,Hårband En disposition,False
Hairband B,Hairband B,Hårband B,False
Hairband B Outline,Hairband B Outline,Hårband B Outline,False
Hairband C,Hairband C,Hårband C,False
Hairband C Outline,Hairband C Outline,Hårband C Outline,False
Hairband D,Hairband D,Hårband D,False
Hairband D Outline,Hairband D Outline,Hårband D Kontur,False
Hair Bang >>,Hair Bang >>,Hair Bang >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Hair Bang >> Kontur,False
Hair Bang ><,Hair Bang ><,Hair Bang ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Hair Bang >< Outline,False
Hair Bang <<,Hair Bang <<,Hair Bang <<,False
Hair Bang << Outline,Hair Bang << Outline,Hair Bang << Outline,False
Hair Clip >>,Hair Clip >>,Hårklämma >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Hårklämma >> Kontur,False
Hair Clip <<,Hair Clip <<,Hårklämma <<,False
Hair Clip << Outline,Hair Clip << Outline,Hårklämma << Kontur,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Hårhöjdpunkt 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Hårhöjdpunkt 1 >> Kontur,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Hårhöjdpunkt 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Hårhöjdpunkt 2 >> Kontur,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Hårhöjdpunkt 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Hårhöjdpunkt 3 >> Kontur,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Hårhöjdpunkt 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,False
