Key,en,th,reviewed
Brows,Brows,คิ้ว,True
Ear,Ear,หู,True
Eye,Eye,ตา,True
Base Hair,Base Hair,ฐานผม,True
Hair Bang >>,Hair Bang >>,ผมหน้าม้า >>,True
Hair Bang ><,Hair Bang ><,ผมหน้าม้า ><,True
Hair Bang <<,Hair Bang <<,ผมหน้าม้า <<,True
Hair Shine,Hair Shine,ไฮไลต์ผม,True
Hair Branch >>,Hair Branch >>,ปอยผม >>,True
Hair Branch <<,Hair Branch <<,ปอยผม <<,True
Hair Framing >>,Hair Framing >>,ผมด้านข้าง >>,True
Hair Framing <<,Hair Framing <<,ผมด้านข้าง <<,True
Hair Framing,Hair Framing,ผมด้านข้าง,True
Hair Highlight 1 >>,Hair Highlight 1 >>,ชิ้นส่วนผม 1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,ชิ้นส่วนผม 2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,ชิ้นส่วนผม 3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,ชิ้นส่วนผม 1 ><,True
Hair Highlight 2 ><,Hair Highlight 2 ><,ชิ้นส่วนผม 2 ><,True
Hair Highlight 3 ><,Hair Highlight 3 ><,ชิ้นส่วนผม 3 ><,True
Hair Highlight 4 ><,Hair Highlight 4 ><,ชิ้นส่วนผม 4 ><,True
Hair Highlight 5 ><,Hair Highlight 5 ><,ชิ้นส่วนผม 5 ><,True
Hair Highlight 6 ><,Hair Highlight 6 ><,ชิ้นส่วนผม 6 ><,True
Hair Highlight 1 <<,Hair Highlight 1 <<,ชิ้นส่วนผม 1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,ชิ้นส่วนผม 2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,ชิ้นส่วนผม 3 <<,True
Hair Side,Hair Side,ผมด้านข้าง,True
Hair Ahoge,Hair Ahoge,ผม Ahoge,True
Hair Rear,Hair Rear,ผมด้านหลัง,True
Hair Pigtail >>,Hair Pigtail >>,มัดผม >>,True
Hair Pigtail <<,Hair Pigtail <<,มัดผม <<,True
Animal Ear,Animal Ear,หูสัตว์,True
Antenna,Antenna,หนวดแมลง,True
Fin,Fin,ครีบ,True
Gill,Gill,เหงือก,True
Glasses,Glasses,แว่นตา,True
Hairband A,Hairband A,ที่คาดผม A,True
Hairband B,Hairband B,ที่คาดผม B,True
Hairband C,Hairband C,ที่คาดผม C,True
Hairband D,Hairband D,ที่คาดผม D,True
Hair Clip >>,Hair Clip >>,กิ๊บติดผม >>,True
Hair Clip <<,Hair Clip <<,กิ๊บติดผม <<,True
Halo,Halo,Halo,True
Hat,Hat,หมวก,True
Ear Wing,Ear Wing,หูปีก,True
Horn,Horn,เขา,True
Horn Front ><,Horn Front ><,เขาด้านหน้า ><,True
Horn Front,Horn Front,เขาด้านหน้า,True
Mecha,Mecha,ส่วนหุ่นยนต์,True
Outfit Collar Inner,Outfit Collar Inner,ปกเสื้อด้านใน,True
Outfit Inner,Outfit Inner,ชุดด้านใน,True
Outfit Outer,Outfit Outer,ชุดด้านนอก,True
Outfit Neckwear A,Outfit Neckwear A,เครื่องประดับคอ A,True
Outfit Neckwear B,Outfit Neckwear B,เครื่องประดับคอ B,True
Outfit Neckwear C,Outfit Neckwear C,เครื่องประดับคอ C,True
Hair Side Branch >> A,Hair Side Branch >> A,ปอยผมด้านหลัง A >>,True
Hair Side Branch >> B,Hair Side Branch >> B,ปอยผมด้านหลัง B >>,True
Hair Side Branch >> C,Hair Side Branch >> C,ปอยผมด้านหลัง C >>,True
Hair Side Branch << A,Hair Side Branch << A,ปอยผมด้านหลัง A <<,True
Hair Side Branch << B,Hair Side Branch << B,ปอยผมด้านหลัง B <<,True
Hair Side Branch << C,Hair Side Branch << C,ปอยผมด้านหลัง C <<,True
Tail,Tail,หาง,True
Wing,Wing,ปีก,True
Facial Hair A,Facial Hair A,ขนบนใบหน้า A,False
Facial Hair B,Facial Hair B,ขนบนใบหน้าบี,False
Cheek,Cheek,แก้ม,False
Face Feature A >>,Face Feature A >>,ลักษณะใบหน้า A >>,False
Face Feature A <<,Face Feature A <<,ลักษณะใบหน้า A <<,False
Face Feature B >>,Face Feature B >>,ลักษณะใบหน้า B >>,False
Face Feature B <<,Face Feature B <<,ลักษณะใบหน้า B <<,False
Face Feature C,Face Feature C,ลักษณะใบหน้า C,False
Nose,Nose,จมูก,False
Earring >>,Earring >>,ต่างหู >>,False
Earring <<,Earring <<,ต่างหู <<,False
Piercing A >>,Piercing A >>,เจาะเอ >>,False
Piercing A <<,Piercing A <<,เจาะเอ <<,False
Piercing B >>,Piercing B >>,เจาะบี >>,False
Piercing B <<,Piercing B <<,เจาะบี <<,False
Hand,Hand,มือ,False
Leg,Leg,ขา,False
Cape Back,Cape Back,เคปแบ็ค,False
Cape Front,Cape Front,แหลมหน้า,False
Hair Ponytail,Hair Ponytail,ผมหางม้า,False
Eyepatch,Eyepatch,ผ้าปิดตา,False
