Key,en,tr
Alert Bits,Alert Bits,Bit Bildirimi
Alert Donation,Alert Donation,Bağış Bildirimi
Alert Heart,Alert Heart,Kalp Bildirimi
Alert Like,Alert Like,Beğeni Bildirimi
Alert Star,Alert Star,Yıldız Bildirimi
Angry,Angry,Sinirli
Arrive,Arrive,Geldim
Arrive (with Chopstick),Arrive (with Chopstick),Geldim (Chopstick)
Arrive (with Spoon),Arrive (with Spoon),Geldim (Kaşık)
Bonk,Bonk,Bonk
Copium,Copium,Copium
Crowbar 1,Crowbar 1,Levye 1
Crowbar 2,Crowbar 2,Levye 2
Crowbar 3,Crowbar 3,Levye 3
Cry 1,Cry 1,Ağla 1
Cry 2,Cry 2,Ağla 2
Cry 3,Cry 3,Ağla 3
Dead,Dead,Öldüm
Dizzy,Dizzy,Başım Dönüyo
Drink (Beverage Cup),Drink (Beverage Cup),İç (Pipetle)
Drive,Drive,Sür
Drooling (Chopstick),Drooling (Chopstick),Ağzım Sulandı (Chopstick)
Drooling (Fork&Knife),Drooling (Fork&Knife),Ağzım Sulandı (Çatal ve Bıçak)
Dum 1,Dum 1,Enayi 1
Dum 2,Dum 2,Enayi 2
Dum 3,Dum 3,Enayi 3
Dum Sticker 1,Dum Sticker 1,Enayi Stickeri 1
Dum Sticker 2,Dum Sticker 2,Enayi Stickeri 2
Dum Sticker 3,Dum Sticker 3,Enayi Stickeri 3
Exclamation,Exclamation,Aman
Jail 1,Jail 1,Hapis 1
Jail 2,Jail 2,Hapis 2
Knife 1,Knife 1,Bıçak 1
Knife 2,Knife 2,Bıçak 2
Laugh,Laugh,Gül
Lick,Lick,Yala Yala
Lightstick 1,Lightstick 1,Işıklı Çubuk 1
Lightstick 2,Lightstick 2,Işıklı Çubuk 2
Lurk 1,Lurk 1,Saklan 1
Lurk 2,Lurk 2,Saklan 2
Luv 1,Luv 1,Sevgi 1
Luv 2,Luv 2,Sevgi 2
Luv 3,Luv 3,Sevgi 3
Money,Money,Paracıklar
Mute 1,Mute 1,Susturulu 1
Mute 2,Mute 2,Susturulu 2
Nervous 1,Nervous 1,Endişeli 1
Nervous 2,Nervous 2,Endişeli 2
Noted 1,Noted 1,Not Alma 1
Noted 2,Noted 2,Not Alma 2
Pat,Pat,Kafa Okşa
Point,Point,İşaret et
Question,Question,Ney
Raid 1,Raid 1,Baskın 1
Raid 2,Raid 2,Baskın 2
RedPacket 1,RedPacket 1,Kırmızı Paket 1
RedPacket 2,RedPacket 2,Kırmızı Paket 2
Rose,Rose,Gül
Score (0 Point),Score (0 Point),Puanım (0)
Score (10 Point),Score (10 Point),Puanım (10)
Shy 1,Shy 1,Utangaç 1
Shy 2,Shy 2,Utangaç 2
Sleep (Normal),Sleep (Normal),Uyu (Normal)
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Uyku (Hazırlanma Aşaması 1)
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Uyku (Hazırlanma Aşaması 2)
Sleep (UU),Sleep (UU),Uyu (UU)
Sparkling,Sparkling,Parıl Parıl
Surprise,Surprise,Sürpriz
Sweat,Sweat,Yorulma
Thumb Down,Thumb Down,Beğenmedim
Thumb Up,Thumb Up,Beğendim
Type Angry,Type Angry,Yaz Sinirli
Type Annoyed,Type Annoyed,Yaz Siniri bozuk
Type Normal,Type Normal,Yaz Normal
Work Angry,Work Angry,Çalış Sinirli
Work Nap,Work Nap,Çalış Uyu
Work Normal,Work Normal,Çalış Normal
Work Tired,Work Tired,Çalış Yorgun
Bell,Bell,Çan
Cake,Cake,Kek
Caught in 4K (Phone),Caught in 4K (Phone),Hop ss aldım (Telefon)
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Hop ss aldım (Video Kamera)
Celebration,Celebration,Kutlama
Head Nod,Head Nod,Kafa Salla (Olumlu)
Head Shake,Head Shake,Kafa salla (Olumsuz)
Hypnosis,Hypnosis,Hipnoz
Laugh (Point),Laugh (Point),Gül (İşaret ederek)
Love Letter,Love Letter,İlan-ı Aşk Mektubu
Need Food,Need Food,Yemek Lazım
PNGTuber Idle,PNGTuber Idle,PNGTuber Sabit
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Sabit 2
PNGTuber Talk,PNGTuber Talk,PNGTuber Konuş
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Konuş 2
PNGTuber Yap,PNGTuber Yap,PNGTuber Boş Yap
Popcat Frame,Popcat Frame,Popcat Düz
Popcat Smooth,Popcat Smooth,Popcat Akışkan
Sing,Sing,Şarkı Söyle
Tablet,Tablet,Çizim Tableti
Tail Wag,Tail Wag,Kuyruk Salla
