Key,en,tr,reviewed
Hair Ahoge,Hair Ahoge,Ahoge Saçı,True
Hair Ahoge Outline,Hair Ahoge Outline,Ahoge Saçı Anahat,True
Animal Ear >>,Animal Ear >>,Hayvan Kulağı >>,True
Animal Ear >> Fur,Animal Ear >> Fur,Hayvan Kulağı >> Kürk,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Hayvan Kulağı >> Kürk Anahat,True
Animal Ear >> Outline,Animal Ear >> Outline,Hayvan Kulağı >> Anahat,True
Animal Ear <<,Animal Ear <<,Hayvan Kulağı <<,True
Animal Ear << Fur,Animal Ear << Fur,Hayvan Kulağı << Kürk,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Hayvan Kulağı << Kürk Anahat,True
Animal Ear << Outline,Animal Ear << Outline,Hayvan Kulağı << Anahat,True
Antenna >>,Antenna >>,Anten >>,True
Antenna >> Outline,Antenna >> Outline,Anten >> Anahat,True
Antenna <<,Antenna <<,Anten <<,True
Antenna << Outline,Antenna << Outline,Anten << Anahat,True
Hair Rear,Hair Rear,Saçın Arkası,True
Hair Rear Outline,Hair Rear Outline,Saçın Arkası Anahat,True
Beverage Cup,Beverage Cup,Bardak,True
Beverage Liquid,Beverage Liquid,Bardaktaki Sıvı,True
Beverage Liquid 2,Beverage Liquid 2,Bardaktaki Sıvı 2,True
Bill,Bill,Para,True
Blanket Inner,Blanket Inner,Battaniye İçi,True
Blanket Outter,Blanket Outter,Battaniye Dışı,True
Face Blush,Face Blush,Yüz Kızarklığı,True
Brow >>,Brow >>,Kaş >>,True
Brow <<,Brow <<,Kaş <<,True
Chopstick,Chopstick,Chopstick,True
Crowbar,Crowbar,Levye,True
Cup,Cup,Kupa,True
Cup Steam,Cup Steam,Kupa Buharı,True
Door/Wall,Door/Wall,Kapı/Duvar,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Göz(Enayi) Gözbebeği >>,True
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Göz(Enayi) Gözbebeği <<,True
Eyebag,Eyebag,Göz torbası,True
Eye Iris Dark >>,Eye Iris Dark >>,Göz İris Koyuluğu >>,True
Eye Iris Dark <<,Eye Iris Dark <<,Göz İris Koyuluğu <<,True
Eye Dollar,Eye Dollar,Göz Paracık,True
Eye Heart,Eye Heart,Göz Kalp,True
Eye Highlight,Eye Highlight,Göz Detayı,True
Eyelashes,Eyelashes,Kirpikler,True
Eye Iris Light >>,Eye Iris Light >>,Göz İris Açıklığı >>,True
Eye Iris Light <<,Eye Iris Light <<,Göz İris Açıklığı <<,True
Eye(Dum) Outline,Eye(Dum) Outline,Göz (Enayi) Anahat,True
Eye Sparkling,Eye Sparkling,Göz Parıltısı,True
Eye Spiral,Eye Spiral,Göz Spiral,True
Eye White,Eye White,Göz Beyazı,True
Face Shadow,Face Shadow,Yüz Gölgesi,True
Fin >>,Fin >>,Yüzgeç >>,True
Fin >> Outline,Fin >> Outline,Yüzgeç >> Anahat,True
Fin <<,Fin <<,Yüzgeç <<,True
Fin << Outline,Fin << Outline,Yüzgeç << Anahat,True
Hair Framing >>,Hair Framing >>,Saç Ucu >>,True
Hair Framing >> Outline,Hair Framing >> Outline,Saç Ucu >> Anahat,True
Hair Framing <<,Hair Framing <<,Saç Ucu <<,True
Hair Framing << Outline,Hair Framing << Outline,Saç Ucu << Anahat,True
Gill,Gill,Solungaç,True
Gill Outline,Gill Outline,Solungaç Anahat,True
Glasses,Glasses,Gözlük,True
Hairband A,Hairband A,Saç Bandı A,True
Hairband A Outline,Hairband A Outline,Saç Bandı Anahat,True
Hairband B,Hairband B,Saç Bandı B,True
Hairband B Outline,Hairband B Outline,Saç Bandı B Anahat,True
Hairband C,Hairband C,Saç Bandı C,True
Hairband C Outline,Hairband C Outline,Saç Bandı C Anahat,True
Hairband D,Hairband D,Saç Bandı D,True
Hairband D Outline,Hairband D Outline,Saç Bandı D Anahat,True
Hair Bang >>,Hair Bang >>,Kahkül >>,True
Hair Bang >> Outline,Hair Bang >> Outline,Kahkül >> Anahat,True
Hair Bang ><,Hair Bang ><,Kahkül ><,True
Hair Bang >< Outline,Hair Bang >< Outline,Kahkül >< Anahat,True
Hair Bang <<,Hair Bang <<,Kahkül <<,True
Hair Bang << Outline,Hair Bang << Outline,Kahkül << Anahat,True
Hair Clip >>,Hair Clip >>,Saç Tokası >>,True
Hair Clip >> Outline,Hair Clip >> Outline,Saç Tokası >> Anahat,True
Hair Clip <<,Hair Clip <<,Saç Tokası <<,True
Hair Clip << Outline,Hair Clip << Outline,Saç Tokası << Anahat,True
Hair Highlight 1 >>,Hair Highlight 1 >>,Saç Detayı 1 >>,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Saç Detayı 1 >> Anahat,True
Hair Highlight 2 >>,Hair Highlight 2 >>,Saç Detayı 2 >>,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Saç Detayı 2 >> Anahat,True
Hair Highlight 3 >>,Hair Highlight 3 >>,Saç Detayı 3 >>,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Saç Detayı 3 >> Anahat,True
Hair Highlight 1 ><,Hair Highlight 1 ><,Saç Detayı 1 ><,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Saç Detayı 1 >< Anahat,True
Hair Highlight 2 ><,Hair Highlight 2 ><,Saç Detayı 2 ><,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Saç Detayı 2 >< Anahat,True
Hair Highlight 3 ><,Hair Highlight 3 ><,Saç Detayı 3 ><,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Saç Detayı 3 >< Anahat,True
Hair Highlight 4 ><,Hair Highlight 4 ><,Saç Vurgulama 4 ><,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Saç Vurgulama 4 >< Anahat,True
Hair Highlight 5 ><,Hair Highlight 5 ><,Saç Vurgulama 5 ><,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Saç Vurgulama 5 >< Anahat,True
Hair Highlight 6 ><,Hair Highlight 6 ><,Saç Vurgulama 6 ><,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Saç Vurgulama 6 >< Anahat,True
Hair Highlight 1 <<,Hair Highlight 1 <<,Saç Vurgulama 1 <<,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Saç Vurgulama 1 << Anahat,True
Hair Highlight 2 <<,Hair Highlight 2 <<,Saç Vurgulama 2 <<,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Saç Vurgulama 2 << Anahat,True
Hair Highlight 3 <<,Hair Highlight 3 <<,Saç Vurgulama 3 <<,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Saç Vurgulama 3 << Anahat,True
Hairline Outline,Hairline Outline,Saç Çizgisi Anahat,True
Hair Shine,Hair Shine,Saç Parıltısı,True
Hair Shine Outline,Hair Shine Outline,Saç Parıltısı Anahat,True
Halo,Halo,Hale,True
Halo Outline,Halo Outline,Hale Anahat,True
Hat,Hat,Şapka,True
Hat Outline,Hat Outline,Şapka Anahat,True
Hat Secondary,Hat Secondary,Şapka İkincil,True
Hat Secondary Outline,Hat Secondary Outline,Şapka İkincil Anahat,True
Hammer,Hammer,Çekiç,True
Ear Wing >>,Ear Wing >>,Kulak Kanadı >>,True
Ear Wing >> Outline,Ear Wing >> Outline,Kulak Kanadı >> Anahat,True
Ear Wing <<,Ear Wing <<,Kulak Kanadı <<,True
Ear Wing << Outline,Ear Wing << Outline,Kulak Kanadı << Anahat,True
Heart,Heart,Kalp,True
Horn >>,Horn >>,Boynuz >>,True
Horn >> Outline,Horn >> Outline,Boynuz >> Anahat,True
Horn <<,Horn <<,Boynuz <<,True
Horn << Outline,Horn << Outline,Boynuz << Anahat,True
Horn ><,Horn ><,Boynuz ><,True
Horn >< Outline,Horn >< Outline,Boynuz >< Anahat,True
Jail Grill,Jail Grill,Hapishane Demiri,True
Keyboard,Keyboard,Klavye,True
Kitchen Knife,Kitchen Knife,Mutfak Bıçağı,True
Laptop,Laptop,Dizüstü Bilgisayar,True
Laptop Light,Laptop Light,Dizüstü Bilgisayar Işığı,True
Leg >>,Leg >>,Bacak >>,True
Leg <<,Leg <<,Bacak <<,True
