Key,en,tr
MainMenu.TabHeaderLable.Editor,Editor,Editör
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","""{{0}“ isimli karakteri silmek istediğinizden emin misiniz? Bu karar geri alınamaz."
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","""{0}“ İsimli karakter halihazırda mevcut. „{0}“ isimli karakterin üstüne yazmak istediğinizden emin misiniz? Bu karar geri alınamaz."
MainMenu.Confirm,Confirm,Onayla
MainMenu.Cancel,Cancel,İptal et
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Lütfen bir karakter ismi giriniz.
MainMenu.Editor.Model,Models,Modeller
MainMenu.Editor.Character,Character,Karakter
MainMenu.Editor.Animation,Animation,Animasyon
MainMenu.Editor.PartsSelection,Choose Parts,Bölüm Seç
MainMenu.Editor.PartsAdjustment,Adjustment,Düzenleme
MainMenu.Search,Search...,Ara...
MainMenu.Editor.SaveCharacter,Save Character,Karakteri Kaydet
MainMenu.Editor.Unload,Clear Character,Karakteri Sıfırla
MainMenu.Editor.DeleteCharacter,Delete Character,Karakteri Sil
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Özel Doku Kullan
MainMenu.Editor.ReloadTextures,Reload Textures,Dokuları Yinele
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Özel Doku Klasörünü Aç
MainMenu.Editor.Color,Color,Renk
MainMenu.Editor.TintColor,TintColor,Ana Renk
MainMenu.Editor.TintBlackColor,TintBlackColor,Alt Renk
MainMenu.Editor.LICENSE,LICENSE,LİSANS
MainMenu.Editor.AssetTypeAA,Default Assets,Standart İçerikler
MainMenu.Editor.AssetTypeSA,Third-Party Assets,Üçüncü Parti İçerikler
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,İsim boş bırakılamaz.
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,"İsim, {0} harfi geçemez."
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".","İsimde ""{0}“ sembolü olamaz."
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.","""{0}“ ismi rezerve bir isimdir ve kullanılamaz."
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,İsim nokta ile bitemez.
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,İsim sadece boşluktan oluşamaz.
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Ekrandaki modeli kaldır
MainMenu.Settings.GeneralSettings,General Settings,Genel Ayarlar
MainMenu.Settings.GeneralSettings.Language,Language,Dil
MainMenu.Settings.ViewportSettings,Viewport Settings,Model Alanı Tuş Ayarları
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Yakınlaştırma Hızı
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Döndürme Hızı
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Modele Odakla
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Yatay Ofset
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Dikey Ofset
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Model Alanı Tuş Ayarlarını Sıfırla
MainMenu.Settings.ExportSettings,Animation Export Settings,Animasyon Dışarı Aktarma Ayarları
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Kayıt Lokasyonu
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Dışa Aktarım Ön Ayarları
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder
MainMenu.Settings.ExportSettings.Width,Width,Genişlik
MainMenu.Settings.ExportSettings.Height,Height,Yükseklik
MainMenu.Settings.ExportSettings.FPS,FPS,FPS
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Maks. Kare Hızını Limitle
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Maks. Kare Hızı
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Başlangıç Değeri
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Titremeye İzin Ver
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Dışarı Aktarma Ayarlarını Sıfırla
MainMenu.Editor.Export,Export Emote,Emoji Dışa Aktar
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position.,"Lisans, modelin yaratıcısı tarafından sağlanmıştır. Yalnızca referans amacıyla gösterilmiştir ve EmoteLab geliştiricisinin görüşlerini veya yasal konumunu temsil etmemektedir."
LicensePopup.ThirdPartyLicense.NotFound,License not found. Confirm permitted use with the creator.,Lisans bulunamadı. Lütfen kullanım iznini yapımcıyla teyit edin.
LicensePopup.Close,Close,Kapat
MainMenu.Editor.OpenExportFolder,Open Export Folder,Dışa Aktarılan Dosyayı Göster
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Gömülü Modeller için Örnek Karakterler Yükle
MainMenu.Settings.ModelSettings,Model Settings,Model Ayarları
