Key,en,uk,reviewed
Brows,Brows,Брови,False
Ear,Ear,вухо,False
Eye,Eye,Око,False
Base Hair,Base Hair,Базове волосся,False
Hair Bang >>,Hair Bang >>,Чубчик для волосся >>,False
Hair Bang ><,Hair Bang ><,Чубчик для волосся ><,False
Hair Bang <<,Hair Bang <<,Чубчик для волосся <<,False
Hair Shine,Hair Shine,Блиск волосся,False
Hair Branch >>,Hair Branch >>,Волоссяна гілка >>,False
Hair Branch <<,Hair Branch <<,Волосся Гілка <<,False
Hair Framing >>,Hair Framing >>,Обрамлення волосся >>,False
Hair Framing <<,Hair Framing <<,Обрамлення волосся <<,False
Hair Framing,Hair Framing,Обрамлення волосся,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Мелірування волосся 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Мелірування волосся 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Мелірування волосся 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Мелірування волосся 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Мелірування волосся 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Мелірування волосся 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Мелірування волосся 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Мелірування волосся 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Мелірування волосся 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Мелірування волосся 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Мелірування волосся 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Мелірування волосся 3 <<,False
Hair Side,Hair Side,Сторона волосся,False
Hair Ahoge,Hair Ahoge,Волосся Ahoge,False
Hair Rear,Hair Rear,Волосся ззаду,False
Hair Pigtail >>,Hair Pigtail >>,Косичка для волосся >>,False
Hair Pigtail <<,Hair Pigtail <<,Косичка для волосся <<,False
Animal Ear,Animal Ear,Вухо тварин,False
Antenna,Antenna,антена,False
Fin,Fin,фін,False
Gill,Gill,Гілл,False
Glasses,Glasses,Окуляри,False
Hairband A,Hairband A,Гумка для волосся А,False
Hairband B,Hairband B,Гумка для волосся Б,False
Hairband C,Hairband C,Гумка для волосся C,False
Hairband D,Hairband D,Гумка для волосся D,False
Hair Clip >>,Hair Clip >>,Заколка для волосся >>,False
Hair Clip <<,Hair Clip <<,Заколка для волосся <<,False
Halo,Halo,Ореол,False
Hat,Hat,Капелюх,False
Ear Wing,Ear Wing,Вухо Крило,False
Horn,Horn,Горн,False
Horn Front ><,Horn Front ><,Ріг спереду ><,False
Horn Front,Horn Front,Ріговий фронт,False
Mecha,Mecha,Меха,False
Outfit Collar Inner,Outfit Collar Inner,Внутрішній комір наряду,False
Outfit Inner,Outfit Inner,Наряд Внутрішній,False
Outfit Outer,Outfit Outer,Одяг Зовнішній,False
Outfit Neckwear A,Outfit Neckwear A,Одяг Одяг А,False
Outfit Neckwear B,Outfit Neckwear B,Одяг для шиї B,False
Outfit Neckwear C,Outfit Neckwear C,Одяг нашийник C,False
Hair Side Branch >> A,Hair Side Branch >> A,Бокова гілка волосся >> А,False
Hair Side Branch >> B,Hair Side Branch >> B,Бокова гілка волосся >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Бокова гілка волосся >> C,False
Hair Side Branch << A,Hair Side Branch << A,Бокова гілка волосся << A,False
Hair Side Branch << B,Hair Side Branch << B,Бокова гілка волосся << B,False
Hair Side Branch << C,Hair Side Branch << C,Бокова гілка волосся << C,False
Tail,Tail,хвіст,False
Wing,Wing,Крило,False
Facial Hair A,Facial Hair A,Волосся на обличчі А,False
Facial Hair B,Facial Hair B,Волосся на обличчі Б,False
Cheek,Cheek,щока,False
Face Feature A >>,Face Feature A >>,Риса обличчя А >>,False
Face Feature A <<,Face Feature A <<,Риса обличчя A <<,False
Face Feature B >>,Face Feature B >>,Риса обличчя B >>,False
Face Feature B <<,Face Feature B <<,Риса обличчя B <<,False
Face Feature C,Face Feature C,Особливість обличчя C,False
Nose,Nose,ніс,False
Earring >>,Earring >>,Сережка >>,False
Earring <<,Earring <<,Сережка <<,False
Piercing A >>,Piercing A >>,Пірсинг А >>,False
Piercing A <<,Piercing A <<,Пірсинг A <<,False
Piercing B >>,Piercing B >>,Пірсинг B >>,False
Piercing B <<,Piercing B <<,Пірсинг Б <<,False
Hand,Hand,Рука,False
Leg,Leg,ніжка,False
Cape Back,Cape Back,Мис Назад,False
Cape Front,Cape Front,Капський фронт,False
Hair Ponytail,Hair Ponytail,Хвіст для волосся,False
Eyepatch,Eyepatch,Пов'язка на око,False
