Key,en,uk,reviewed
Hair Ahoge,Hair Ahoge,Волосся Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Контур волосся Ahoge,False
Animal Ear >>,Animal Ear >>,Вухо тварин >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Вухо тварин >> Хутро,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Вухо тварини >> Контур хутра,False
Animal Ear >> Outline,Animal Ear >> Outline,Вухо тварин >> Схема,False
Animal Ear <<,Animal Ear <<,Вухо тварин <<,False
Animal Ear << Fur,Animal Ear << Fur,Вушка тварин << Хутро,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Вухо тварин << Контур хутра,False
Animal Ear << Outline,Animal Ear << Outline,Вухо тварин << Контур,False
Antenna >>,Antenna >>,Антена >>,False
Antenna >> Outline,Antenna >> Outline,Антена >> Схема,False
Antenna <<,Antenna <<,Антена <<,False
Antenna << Outline,Antenna << Outline,Антена << Схема,False
Hair Rear,Hair Rear,Волосся ззаду,False
Hair Rear Outline,Hair Rear Outline,Контур волосся ззаду,False
Beverage Cup,Beverage Cup,Чашка для напоїв,False
Beverage Liquid,Beverage Liquid,Рідина для напоїв,False
Beverage Liquid 2,Beverage Liquid 2,Рідина для напоїв 2,False
Bill,Bill,Білл,False
Blanket Inner,Blanket Inner,Ковдра Внутрішня,False
Blanket Outter,Blanket Outter,Ковдра Outter,False
Face Blush,Face Blush,Рум'яна для обличчя,False
Brow >>,Brow >>,Брова >>,False
Brow <<,Brow <<,Брова <<,False
Chopstick,Chopstick,Паличка для їжі,False
Crowbar,Crowbar,Лом,False
Cup,Cup,Кубок,False
Cup Steam,Cup Steam,Чашка Steam,False
Door/Wall,Door/Wall,Двері/Стіна,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Око (Dum) Зіниця >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,False
Eyebag,Eyebag,Очний мішок,False
Eye Iris Dark >>,Eye Iris Dark >>,Райдужна оболонка очей темна >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Райдужна оболонка очей темна <<,False
Eye Dollar,Eye Dollar,Око Долар,False
Eye Heart,Eye Heart,Око Серце,False
Eye Highlight,Eye Highlight,Підсвічування очей,False
Eyelashes,Eyelashes,вії,False
Eye Iris Light >>,Eye Iris Light >>,Світло райдужної оболонки очей >>,False
Eye Iris Light <<,Eye Iris Light <<,Райдужна оболонка очей Світла <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Око (Dum) контур,False
Eye Sparkling,Eye Sparkling,Блискучі очі,False
Eye Spiral,Eye Spiral,Очна спіраль,False
Eye White,Eye White,Біле око,False
Face Shadow,Face Shadow,Тінь обличчя,False
Fin >>,Fin >>,Плавник >>,False
Fin >> Outline,Fin >> Outline,Fin >> Контур,False
Fin <<,Fin <<,Плавник <<,False
Fin << Outline,Fin << Outline,Fin << Контур,False
Hair Framing >>,Hair Framing >>,Обрамлення волосся >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Обрамлення волосся >> Контур,False
Hair Framing <<,Hair Framing <<,Обрамлення волосся <<,False
Hair Framing << Outline,Hair Framing << Outline,Обрамлення волосся << Контур,False
Gill,Gill,Гілл,False
Gill Outline,Gill Outline,Контур зябер,False
Glasses,Glasses,Окуляри,False
Hairband A,Hairband A,Гумка для волосся А,False
Hairband A Outline,Hairband A Outline,Гумка для волосся A Контур,False
Hairband B,Hairband B,Гумка для волосся Б,False
Hairband B Outline,Hairband B Outline,Гумка для волосся B Контур,False
Hairband C,Hairband C,Гумка для волосся C,False
Hairband C Outline,Hairband C Outline,Гумка для волосся C контур,False
Hairband D,Hairband D,Гумка для волосся D,False
Hairband D Outline,Hairband D Outline,Гумка для волосся D контур,False
Hair Bang >>,Hair Bang >>,Чубчик для волосся >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Чубчик для волосся >> Контур,False
Hair Bang ><,Hair Bang ><,Чубчик для волосся ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Чубчик для волосся >< контур,False
Hair Bang <<,Hair Bang <<,Чубчик для волосся <<,False
Hair Bang << Outline,Hair Bang << Outline,Чубчик для волосся << Контур,False
Hair Clip >>,Hair Clip >>,Заколка для волосся >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Заколка для волосся >> Контур,False
Hair Clip <<,Hair Clip <<,Заколка для волосся <<,False
Hair Clip << Outline,Hair Clip << Outline,Заколка для волосся << Контур,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Мелірування волосся 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Мелірування волосся 1 >> Контур,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Мелірування волосся 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Мелірування волосся 2 >> Контур,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Мелірування волосся 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Мелірування волосся 3 >> Контур,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Мелірування волосся 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Мелірування волосся 1 >< Контур,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Мелірування волосся 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Мелірування волосся 2 >< Контур,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Мелірування волосся 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Мелірування волосся 3 >< Контур,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Мелірування волосся 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Мелірування волосся 4 >< контур,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Мелірування волосся 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Мелірування волосся 5 >< контур,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Мелірування волосся 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Мелірування волосся 6 >< Контур,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Мелірування волосся 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Мелірування волосся 1 << Контур,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Мелірування волосся 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Мелірування волосся 2 << Контур,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Мелірування волосся 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Мелірування волосся 3 << Контур,False
Hairline Outline,Hairline Outline,Контур лінії волосся,False
Hair Shine,Hair Shine,Блиск волосся,False
Hair Shine Outline,Hair Shine Outline,Контур блиску волосся,False
Halo,Halo,Ореол,False
Halo Outline,Halo Outline,Контур Halo,False
Hat,Hat,Капелюх,False
Hat Outline,Hat Outline,Контур капелюха,False
Hat Secondary,Hat Secondary,Капелюх Вторинний,False
Hat Secondary Outline,Hat Secondary Outline,Вторинний контур капелюха,False
Hammer,Hammer,Молоток,False
