Key,en,zh-Hant,reviewed
Hair Ahoge,Hair Ahoge,,False
Hair Ahoge Outline,Hair Ahoge Outline,,False
Animal Ear >>,Animal Ear >>,,False
Animal Ear >> Fur,Animal Ear >> Fur,,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,,False
Animal Ear >> Outline,Animal Ear >> Outline,,False
Animal Ear <<,Animal Ear <<,,False
Animal Ear << Fur,Animal Ear << Fur,,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,,False
Animal Ear << Outline,Animal Ear << Outline,,False
Antenna >>,Antenna >>,,False
Antenna >> Outline,Antenna >> Outline,,False
Antenna <<,Antenna <<,,False
Antenna << Outline,Antenna << Outline,,False
Hair Rear,Hair Rear,,False
Hair Rear Outline,Hair Rear Outline,,False
Beverage Cup,Beverage Cup,,False
Beverage Liquid,Beverage Liquid,,False
Beverage Liquid 2,Beverage Liquid 2,,False
Bill,Bill,,False
Blanket Inner,Blanket Inner,,False
Blanket Outter,Blanket Outter,,False
Face Blush,Face Blush,,False
Brow >>,Brow >>,,False
Brow <<,Brow <<,,False
Chopstick,Chopstick,,False
Crowbar,Crowbar,,False
Cup,Cup,,False
Cup Steam,Cup Steam,,False
Door/Wall,Door/Wall,,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,,False
Eyebag,Eyebag,,False
Eye Iris Dark >>,Eye Iris Dark >>,,False
Eye Iris Dark <<,Eye Iris Dark <<,,False
Eye Dollar,Eye Dollar,,False
Eye Heart,Eye Heart,,False
Eye Highlight,Eye Highlight,,False
Eyelashes,Eyelashes,,False
Eye Iris Light >>,Eye Iris Light >>,,False
Eye Iris Light <<,Eye Iris Light <<,,False
Eye(Dum) Outline,Eye(Dum) Outline,,False
Eye Sparkling,Eye Sparkling,,False
Eye Spiral,Eye Spiral,,False
Eye White,Eye White,,False
Face Shadow,Face Shadow,,False
Fin >>,Fin >>,,False
Fin >> Outline,Fin >> Outline,,False
Fin <<,Fin <<,,False
Fin << Outline,Fin << Outline,,False
Hair Framing >>,Hair Framing >>,,False
Hair Framing >> Outline,Hair Framing >> Outline,,False
Hair Framing <<,Hair Framing <<,,False
Hair Framing << Outline,Hair Framing << Outline,,False
Gill,Gill,,False
Gill Outline,Gill Outline,,False
Glasses,Glasses,,False
Hairband A,Hairband A,,False
Hairband A Outline,Hairband A Outline,,False
Hairband B,Hairband B,,False
Hairband B Outline,Hairband B Outline,,False
Hairband C,Hairband C,,False
Hairband C Outline,Hairband C Outline,,False
Hairband D,Hairband D,,False
Hairband D Outline,Hairband D Outline,,False
Hair Bang >>,Hair Bang >>,,False
Hair Bang >> Outline,Hair Bang >> Outline,,False
Hair Bang ><,Hair Bang ><,,False
Hair Bang >< Outline,Hair Bang >< Outline,,False
Hair Bang <<,Hair Bang <<,,False
Hair Bang << Outline,Hair Bang << Outline,,False
Hair Clip >>,Hair Clip >>,,False
Hair Clip >> Outline,Hair Clip >> Outline,,False
Hair Clip <<,Hair Clip <<,,False
Hair Clip << Outline,Hair Clip << Outline,,False
Hair Highlight 1 >>,Hair Highlight 1 >>,,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,,False
Hair Highlight 2 >>,Hair Highlight 2 >>,,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,,False
Hair Highlight 3 >>,Hair Highlight 3 >>,,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,,False
