Key,en,zh-Hant,reviewed
Brows,Brows,,False
Ear,Ear,,False
Eye,Eye,,False
Base Hair,Base Hair,,False
Hair Bang >>,Hair Bang >>,,False
Hair Bang ><,Hair Bang ><,,False
Hair Bang <<,Hair Bang <<,,False
Hair Shine,Hair Shine,,False
Hair Branch >>,Hair Branch >>,,False
Hair Branch <<,Hair Branch <<,,False
Hair Framing >>,Hair Framing >>,,False
Hair Framing <<,Hair Framing <<,,False
Hair Framing,Hair Framing,,False
Hair Highlight 1 >>,Hair Highlight 1 >>,,False
Hair Highlight 2 >>,Hair Highlight 2 >>,,False
Hair Highlight 3 >>,Hair Highlight 3 >>,,False
Hair Highlight 1 ><,Hair Highlight 1 ><,,False
Hair Highlight 2 ><,Hair Highlight 2 ><,,False
Hair Highlight 3 ><,Hair Highlight 3 ><,,False
Hair Highlight 4 ><,Hair Highlight 4 ><,,False
Hair Highlight 5 ><,Hair Highlight 5 ><,,False
Hair Highlight 6 ><,Hair Highlight 6 ><,,False
Hair Highlight 1 <<,Hair Highlight 1 <<,,False
Hair Highlight 2 <<,Hair Highlight 2 <<,,False
Hair Highlight 3 <<,Hair Highlight 3 <<,,False
Hair Side,Hair Side,,False
Hair Ahoge,Hair Ahoge,,False
Hair Rear,Hair Rear,,False
Hair Pigtail >>,Hair Pigtail >>,,False
Hair Pigtail <<,Hair Pigtail <<,,False
Animal Ear,Animal Ear,,False
Antenna,Antenna,,False
Fin,Fin,,False
Gill,Gill,,False
Glasses,Glasses,,False
Hairband A,Hairband A,,False
Hairband B,Hairband B,,False
Hairband C,Hairband C,,False
Hairband D,Hairband D,,False
Hair Clip >>,Hair Clip >>,,False
Hair Clip <<,Hair Clip <<,,False
Halo,Halo,,False
Hat,Hat,,False
Ear Wing,Ear Wing,,False
Horn,Horn,,False
Horn Front ><,Horn Front ><,,False
Horn Front,Horn Front,,False
Mecha,Mecha,,False
Outfit Collar Inner,Outfit Collar Inner,,False
Outfit Inner,Outfit Inner,,False
Outfit Outer,Outfit Outer,,False
Outfit Neckwear A,Outfit Neckwear A,,False
Outfit Neckwear B,Outfit Neckwear B,,False
Outfit Neckwear C,Outfit Neckwear C,,False
Hair Side Branch >> A,Hair Side Branch >> A,,False
Hair Side Branch >> B,Hair Side Branch >> B,,False
Hair Side Branch >> C,Hair Side Branch >> C,,False
Hair Side Branch << A,Hair Side Branch << A,,False
Hair Side Branch << B,Hair Side Branch << B,,False
Hair Side Branch << C,Hair Side Branch << C,,False
