Key,en,zh-Hant,reviewed
Hair Ahoge,Hair Ahoge,頭髮呆毛,True
Hair Ahoge Outline,Hair Ahoge Outline,頭髮呆毛輪廓,True
Animal Ear >>,Animal Ear >>,獸耳 >>,True
Animal Ear >> Fur,Animal Ear >> Fur,獸耳 >> 毛,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,獸耳 >> 毛輪廓,True
Animal Ear >> Outline,Animal Ear >> Outline,獸耳 >> 輪廓,True
Animal Ear <<,Animal Ear <<,獸耳 <<,True
Animal Ear << Fur,Animal Ear << Fur,獸耳 << 毛,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,獸耳 << 毛輪廓,True
Animal Ear << Outline,Animal Ear << Outline,獸耳 << 輪廓,True
Antenna >>,Antenna >>,觸角 >>,True
Antenna >> Outline,Antenna >> Outline,觸角 >> 輪廓,True
Antenna <<,Antenna <<,觸角 <<,True
Antenna << Outline,Antenna << Outline,觸角 << 輪廓,True
Hair Rear,Hair Rear,頭髮 後側,True
Hair Rear Outline,Hair Rear Outline,頭髮 後側 輪廓,True
Beverage Cup,Beverage Cup,飲料杯,True
Beverage Liquid,Beverage Liquid,飲料杯 液體,True
Beverage Liquid 2,Beverage Liquid 2,飲料杯 液體 2,True
Bill,Bill,鈔票,True
Blanket Inner,Blanket Inner,被子 內側,True
Blanket Outter,Blanket Outter,被子 外側,True
Face Blush,Face Blush,臉紅,True
Brow >>,Brow >>,眉毛 >>,True
Brow <<,Brow <<,眉毛 <<,True
Chopstick,Chopstick,筷子,True
Crowbar,Crowbar,撬棍,True
Cup,Cup,咖啡杯,True
Cup Steam,Cup Steam,咖啡杯 蒸汽,True
Door/Wall,Door/Wall,門/牆,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,呆眼 瞳孔 >>,True
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,呆眼 瞳孔  <<,True
Eyebag,Eyebag,眼袋,True
Eye Iris Dark >>,Eye Iris Dark >>,眼睛 虹膜深色 >>,True
Eye Iris Dark <<,Eye Iris Dark <<,眼睛 虹膜深色 <<,True
Eye Dollar,Eye Dollar,眼睛 錢,True
Eye Heart,Eye Heart,眼睛 愛心,True
Eye Highlight,Eye Highlight,眼睛 高光,True
Eyelashes,Eyelashes,眼睛 睫毛,True
Eye Iris Light >>,Eye Iris Light >>,眼睛 虹膜淺色 >>,True
Eye Iris Light <<,Eye Iris Light <<,眼睛 虹膜淺色 <<,True
Eye(Dum) Outline,Eye(Dum) Outline,呆眼 輪廓,True
Eye Sparkling,Eye Sparkling,眼睛 星星,True
Eye Spiral,Eye Spiral,眼睛 圈圈,True
Eye White,Eye White,眼睛 白色部分,True
Face Shadow,Face Shadow,臉 陰影,True
Fin >>,Fin >>,鰭 >>,True
Fin >> Outline,Fin >> Outline,鰭 >> 輪廓,True
Fin <<,Fin <<,鰭 <<,True
Fin << Outline,Fin << Outline,鰭 << 輪廓,True
Hair Framing >>,Hair Framing >>,頭髮 臉頰 >>,True
Hair Framing >> Outline,Hair Framing >> Outline,頭髮 臉頰 >> 輪廓,True
Hair Framing <<,Hair Framing <<,頭髮 臉頰 <<,True
Hair Framing << Outline,Hair Framing << Outline,頭髮 臉頰 << 輪廓,True
Gill,Gill,鰓,True
Gill Outline,Gill Outline,鰓 輪廓,True
Glasses,Glasses,眼鏡,True
Hairband A,Hairband A,髮帶 A,True
Hairband A Outline,Hairband A Outline,髮帶 A 輪廓,True
Hairband B,Hairband B,髮帶 B,True
Hairband B Outline,Hairband B Outline,髮帶 B 輪廓,True
Hairband C,Hairband C,髮帶 C,True
Hairband C Outline,Hairband C Outline,髮帶 C 輪廓,True
Hairband D,Hairband D,髮帶 D,True
Hairband D Outline,Hairband D Outline,髮帶 D 輪廓,True
Hair Bang >>,Hair Bang >>,頭髮 瀏海 >>,True
Hair Bang >> Outline,Hair Bang >> Outline,頭髮 瀏海 >> 輪廓,True
Hair Bang ><,Hair Bang ><,頭髮 瀏海 ><,True
Hair Bang >< Outline,Hair Bang >< Outline,頭髮 瀏海 >< 輪廓,True
Hair Bang <<,Hair Bang <<,頭髮 瀏海 <<,True
Hair Bang << Outline,Hair Bang << Outline,頭髮 瀏海 << 輪廓,True
Hair Clip >>,Hair Clip >>,髮夾 >>,True
Hair Clip >> Outline,Hair Clip >> Outline,髮夾 >> 輪廓,True
Hair Clip <<,Hair Clip <<,髮夾 <<,True
Hair Clip << Outline,Hair Clip << Outline,髮夾 << 輪廓,True
Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >> ,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,挑染 1 >> 輪廓,True
Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >> ,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,挑染 2 >> 輪廓,True
Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >> ,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,挑染 3 >> 輪廓,True
Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 >< ,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,挑染 1 >< 輪廓,True
Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 >< ,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,挑染 2 >< 輪廓,True
Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 >< ,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,挑染 3 >< 輪廓,True
Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 >< ,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,挑染 4 >< 輪廓,True
Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 >< ,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,挑染 5 >< 輪廓,True
Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 >< ,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,挑染 6 >< 輪廓,True
Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 << ,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,挑染 1 << 輪廓,True
Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 << ,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,挑染 2 << 輪廓,True
Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 << ,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,挑染 3 << 輪廓,True
Hairline Outline,Hairline Outline,髮際線 輪廓,True
Hair Shine,Hair Shine,頭髮 高光,True
Hair Shine Outline,Hair Shine Outline,頭髮 高光 輪廓,True
Halo,Halo,光環,True
Halo Outline,Halo Outline,光環 輪廓,True
Hat,Hat,帽子,True
Hat Outline,Hat Outline,帽子 輪廓,True
Hat Secondary,Hat Secondary,帽子 次要,True
Hat Secondary Outline,Hat Secondary Outline,帽子 次要 輪廓,True
Hammer,Hammer,錘子,True
Ear Wing >>,Ear Wing >>,翅膀耳朵 >>,True
Ear Wing >> Outline,Ear Wing >> Outline,翅膀耳朵 >> 輪廓,True
Ear Wing <<,Ear Wing <<,翅膀耳朵 <<,True
Ear Wing << Outline,Ear Wing << Outline,翅膀耳朵 << 輪廓,True
Heart,Heart,愛心,True
Horn >>,Horn >>,角 >>,True
Horn >> Outline,Horn >> Outline,角 >> 輪廓,True
Horn <<,Horn <<,角 <<,True
Horn << Outline,Horn << Outline,角 << 輪廓,True
Horn ><,Horn ><,角 ><,True
Horn >< Outline,Horn >< Outline,角 >< 輪廓,True
Jail Grill,Jail Grill,監獄柵欄,True
Keyboard,Keyboard,鍵盤,True
Kitchen Knife,Kitchen Knife,廚房刀,True
Laptop,Laptop,電腦,True
Laptop Light,Laptop Light,電腦 螢幕光,True
Leg >>,Leg >>,腿 >>,True
Leg <<,Leg <<,腿 <<,True
Lightstick Handle,Lightstick Handle,螢光棒 把手,True
Light Stick >>,Light Stick >>,螢光棒 >>,True
Light Stick <<,Light Stick <<,螢光棒 <<,True
Mecha,Mecha,機械,True
Mecha >>,Mecha >>,機械 >>,True
Mecha >> Outline,Mecha >> Outline,機械 >> 輪廓,True
Mecha Outline,Mecha Outline,機械 輪廓,True
Mecha <<,Mecha <<,機械 <<,True
Mecha << Outline,Mecha << Outline,機械 << 輪廓,True
Mouse,Mouse,滑鼠,True
Mouth/Tongue,Mouth/Tongue,嘴/舌頭,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,嘴/舌頭 陰影,True
Notepad,Notepad,記事本,True
Outfit Collar,Outfit Collar,服裝 領子,True
Outfit Collar Outline,Outfit Collar Outline,服裝 領子 輪廓,True
Outfit Inner,Outfit Inner,服裝 內側,True
Outfit Inner Outline,Outfit Inner Outline,服裝 內側 輪廓,True
Outfit Neckwear A,Outfit Neckwear A,服裝 頸部裝飾 A,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,服裝 頸部裝飾 A 輪廓,True
Outfit Neckwear B,Outfit Neckwear B,服裝 頸部裝飾 B,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,服裝 頸部裝飾 B 輪廓,True
Outfit Neckwear C,Outfit Neckwear C,服裝 頸部裝飾 C,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,服裝 頸部裝飾 C 輪廓,True
Outfit Outer,Outfit Outer,服裝 外側,True
Outfit Outer Outline,Outfit Outer Outline,服裝 外側 輪廓,True
Pencil,Pencil,鉛筆,True
Phone,Phone,手機,True
Phone Light,Phone Light,手機 螢幕光,True
Hair Pigtail >>,Hair Pigtail >>,頭髮 馬尾 >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,頭髮 馬尾 >> 輪廓,True
Hair Pigtail <<,Hair Pigtail <<,頭髮 馬尾 <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,頭髮 馬尾 << 輪廓,True
Rose,Rose,玫瑰,True
Round Sign,Round Sign,圓形標牌,True
Round Sign Text,Round Sign Text,圓形標牌 文字,True
Hair Side,Hair Side,頭髮 側面,True
Hair Side Outline,Hair Side Outline,頭髮 側面 輪廓,True
Skin,Skin,膚色,True
Skin Outline,Skin Outline,膚色 輪廓,True
Square Sign,Square Sign,方形標牌,True
Square Sign Text,Square Sign Text,方形標牌 文字,True
Steering Wheel,Steering Wheel,方向盤,True
Gas Bottle,Gas Bottle,壓縮氣瓶,True
Pat Hand,Pat Hand,摸頭手,True
Sticker Alert,Sticker Alert,表情貼紙 通知/提示,True
Sticker Alert Effect,Sticker Alert Effect,表情貼紙 通知/提示 特效,True
Sticker Alert Outline,Sticker Alert Outline,表情貼紙 通知/提示 輪廓,True
Sticker Angry,Sticker Angry,表情貼紙 生氣,True
